Nr.,Datum,Grund/Anlass,Ort bzw. Wegstrecke,Unnamed: 4,Unnamed: 5,Unnamed: 6
86.0,2020-04-22 00:00:00,Kritik an der Politik der Flüchtlingsaufnahme und –unterbringung in Landeserstaufnahmeeinrichtungen des Landes Baden-Württemberg,Gehweg Lörracherstraße/ Bereich Landeserstaufnahmeeinrichtung,,,
87.0,2020-04-24 00:00:00,"Bundesweite Protestaktion ""Leere Stühle""",Platz  der Alten Synagoge,,,
88.0,2020-04-24 00:00:00,Nach Corona nicht weiter wie bisher,Rathausplatz,,,
89.0,2020-04-25 00:00:00,Friedliche Versammlung zum Erhalt der Grundrechte,Rathausplatz,,,
90.0,2020-04-25 00:00:00,Keine Quarantäne für Freiheitsrechte,Platz der Alten Synagoge,,,
91.0,2020-04-25 00:00:00,"Grundgesetz, Wahrung der Grundrechte",Münsterplatz und Augustinerplatz,,,
92.0,2020-04-25 00:00:00,Friedliche Versammlung zum Erhalt der Grundrechte,Rathausplatz ,,,
93.0,2020-04-24 00:00:00,"Klimaschutz, Klimagerechtigkeit",Platz der Alten Synagoge,,,
94.0,2020-04-24 00:00:00,Mehr Platz für familienfreundlichen Fußverkehr und Physical Distancing entlang der Baslerstraße,Arne-Torgersen-Str.-Eschholzstr.-Baslerstr. (bis zur Kreuzung Heinrich-von-stephan-str.)-gleicher Weg wieder zurück (auf der anderen Straßenseite),,,
95.0,2020-04-26 00:00:00,Pop-Up Bikelane,Schwabentorring/Schlossbergring (Absperrung der Strecke),,,
96.0,2020-04-24 00:00:00,Klimaschutz ,Platz der Alten Synagoge,,,
97.0,2020-05-01 00:00:00,Verbesserung der Bedingungen für Sorgearbeitende in und nach der Corona-Pandemie,Münsterplatz,,,
98.0,2020-05-01 00:00:00,Solidarität für alle,Platz der Alten Synagoge,,,
99.0,2020-05-02 00:00:00,Friedliche Versammlung zum Erhalt der Grundrechte,Rathausplatz,,,
