Nr.,Anmeldedat.,Art,Thema,Datum,Zeit,"Ort, Aufzugsweg",TN-Zahl
124,2018-07-06,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2017,2018-08-11 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5-20
125,2018-07-06,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2017,2018-08-12 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5-20
126,2018-07-06,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2017,2018-08-13 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5-20
127,2018-07-06,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2017,2018-08-14 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5-20
128,2018-07-06,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2017,2018-08-15 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5-20
129,2018-07-06,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2017,2018-08-16 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5-20
130,2018-07-06,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2017,2018-08-17 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5-20
131,2018-07-06,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2017,2018-08-18 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5-20
132,2018-07-06,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2017,2018-08-19 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5-20
133,2018-07-06,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2017,2018-08-20 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5-20
134,2018-07-06,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2017,2018-08-21 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5-20
135,2018-07-06,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2017,2018-08-22 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5-20
136,2018-07-06,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2017,2018-08-23 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5-20
137,2018-07-06,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2017,2018-08-24 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5-20
138,2018-07-06,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2017,2018-08-25 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5-20
139,2018-07-06,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2017,2018-08-26 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5-20
140,2018-07-06,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2017,2018-08-27 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5-20
141,2018-07-06,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2017,2018-08-28 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5-20
142,2018-07-16,K,Rücktritt des Präsidenten des LG Duisburg,2018-08-02 00:00:00,11:00-16:00,DU-Stadtmitte; Landgericht Duisburg,50-80
143,2018-07-16,A,Friedensfahrradtour NRW 2018,2018-08-05 00:00:00,-,Duisburg,20-30
144,2018-07-09,K,Demonstration gegen Massentierhaltung,2018-07-27 00:00:00,16:30-19:30,DU-Stadtmitte; Friedrich-Wilhelm-Platz / Sonnenwall,15
145,2018-07-09,K,Demonstration gegen Massentierhaltung,2018-08-12 00:00:00,13:00-17:00,DU-Stadtmitte; Altstadtpark,15
146,2018-07-09,K,Demonstration gegen Massentierhaltung,2018-08-24 00:00:00,16:30-19:30,DU-Stadtmitte; Friedrich-Wilhelm-Platz / Sonnenwall,15
147,2018-07-26,K,Solidaritätskundgebung für die Seenotrettung im Mittelmeer,2018-08-04 00:00:00,14:00-15:30,DU-Stadtmitte; Opernplatz,200
148,2018-07-28,K,14-jähriges Jubiläum der Montagsdemo Duisburg,2018-08-06 00:00:00,18:00-19:00,DU-Stadmitte; Lifesaver auf der Königstraße,40-50
149,2018-07-28,K,Entwicklung in der Stahlindustrie,2018-08-13 00:00:00,18:00-19:00,DU-Stadmitte; Lifesaver auf der Königstraße,40-50
150,2018-07-28,K,Vorbereitung des Antikriegstages,2018-08-20 00:00:00,18:00-19:00,DU-Stadmitte; Lifesaver auf der Königstraße,40-50
