Nr.,Anmeldedat.,Thema,Datum,Zeit,"Ort, Aufzugsweg",TN-Zahl
326,2016-08-16 00:00:00,Stop Stahl-Exit/Stahl ist Zukunft,2016-08-31,11:55-14:30,DU-Hamborn; Tor 1: Kaiser-Wilhelm-Straße 100; Tor 4: Willy-Brandt-Ring - Kaiser-Wilhelm-Straße - HV TKSE,6.000-7.000
327,2016-08-16 00:00:00,Stop Stahl-Exit/Stahl ist Zukunft,2016-08-31,11:00-11:55,DU-Hamborn; Hoffsche Straße - Kaiser-Wilhelm-Straße HV TKSE - Kaiser-Wilhelm-Straße,700
328,2016-08-19 00:00:00,Friedenskundgebung angesichts des internationalen Antikriegstages am 01.09.2016,2016-09-01,17:00-19:00,DU-Stadtmitte; Königstraße (vor dem Amtsgericht),20-50
329,2016-08-22 00:00:00,Kundgebung und Demonstration gegen die AKP Politik nach dem Putsch und die türkisch nationalistischen Tendenzen in der BRD,2016-08-27,14:00-17:00,DU-Stadtmitte; Portsmouthplatz - Mercatorstraße - Königstraße - Düsseldorfer Straße - Salvatorweg - Wallstraße - Sonnenwall - Königstraße - Portsmouthplatz,300
330,2016-08-22 00:00:00,Sicher leben!-Asylflut stoppen! Unsere Kinder sind kein Freiwild!,2016-08-27,13:00-20:00,DU-Neumühl; Duisburger Straße/Alleestraße - Gartenstraße - Dörnbergstraße - Bastenstraße - Obermarxloher Straße - Hohenzollernplatz - Holtener Straße - Obermarxloher Straße -Gartenstraße - Duisburger Straße/Alleestraße,50
331,2016-08-25 00:00:00,Sternmarsch,2016-08-31,10:00-16:00,DU; Kaiser-Wilhelm-Straße - Franz-Lenze-Straße - Friedrich-Ebert-Straße - Fabrikstraße - Dr.-Hammacher-Straße - Krusestraße - Ruhrorter Straße - Plessingstraße - Kremerstraße - Düsseldorfer Landstraße - Duisburger Landstraße - Arnheimer Straße - Niederrheinstraße - Freiligrathplatz - Kaiserswerther Straße - Fischerstraße - Nordstraße - Duisburger Straße - Vagedesstraße - Pempelforter Straße - Kölner Straße - Josefstraße - Josefplatz - Ellerstraße,
332,2016-08-26 00:00:00,Aktionskriegstag,2016-09-05,17:30-18:30,DU-Stadtmitte; Königsstraße - Mercatorstraße - Bahnhofsplatte,100
333,2016-08-26 00:00:00,Gegen TTPP,2016-09-12,17:30-18:30,DU-Stadtmitte; Königsstraße - Mercatorstraße - Bahnhofsplatte,30
334,2016-08-26 00:00:00,Rente mit 82?,2016-09-19,17:30-18:30,DU-Stadtmitte; Königsstraße - Mercatorstraße - Bahnhofsplatte,30
335,2016-08-26 00:00:00,Bundesweite Montagsdemo am 01.10.2016 in Berlin,2016-09-26,17:30-18:30,DU-Stadtmitte; Königsstraße - Mercatorstraße - Bahnhofsplatte,30
336,2016-08-29 00:00:00,Einmarsch der türkischen Armee und Massaker im syrischen Kurdistan am 28.08.2016,2016-08-29,19:00-20:00,DU-Stadtmitte; Königstraße,40
337,2016-08-29 00:00:00,Demonstration für Unterstützung der Gleichstellung für Migranten zwecks Ausbildung,2016-09-07,10:00-13:00,DU-Duissern; Wintgenstraße 29-33,30-40
338,2016-09-01 00:00:00,Protest gegen Pegida NRW,2016-09-05,,DU-Stadtmitte; Mercatorstraße / Ecke Koloniestraße,100
339,2016-09-08 00:00:00,Protest gegen die türkische Offensive gegen die kämpfenden Kurden in Syrien und Forderung nach einem Rückzug türkischer Truppen aus Syrien,2016-09-16,17:00-19:00,DU-Stadtmitte; Königstraße (Lifesaver-Brunnen),100
340,2016-09-17 00:00:00,Tierhandel,2016-12-03,13:00-16:00,DU-Hamborn; Konrad-Adenauer-Ring 6 (Zoo Zajac),50
341,2016-09-19 00:00:00,Freiheit für Öcalan und Protest gegen die Suspendierung der Oberbürger/innen im Südosten der Türkei,2016-09-24,12:00-16:00,DU-Stadtmitte; Portsmouth-Platz - Friedrich-Wilhelm-Straße - Steinsche Gasse - Königstraße - Kardinal-Galen-Straße - Mercatorstraße - Portsmouthplatz,300-400
342,2016-09-20 00:00:00,Frei-/Lebensräume erhalten,2016-09-24,15:00-17:00,DU-Stadtmitte; Portsmouthplatz,30
343,2016-09-21 00:00:00,"Verlesung eines offenen Briefes durch Betroffene des ""Integrationsgesetzes""",2016-09-23,10:30-13:00,DU-Stadtmitte; Königstraße - Kuhtor - Burgplatz,50
344,2016-09-21 00:00:00,"Stoppt die Verfolgung von Falun Gong und den Organraub an lebenden Falun Gong-Praktizierenden in China, Falun Dafa ist gut.",2016-09-25,12:00-18:00,DU-Stadtmitte; König-Heinrich-Platz vor dem Forum,4-8
345,2016-09-22 00:00:00,Patriotische Europäer gegen die Islamisierung des Abendlandes,2016-10-03,19:00-22:00,DU-Stadtmitte; Portsmouthplatz - Mercatorstraße - Wittekindstraße - Fürstenstraße - Güntherstraße - Hohestraße - Gallenkampstraße - Mercatorstraße - Portsmouthplatz,150-500
346,2016-09-22 00:00:00,Patriotische Europäer gegen die Islamisierung des Abendlandes,2016-11-07,19:00-22:00,DU-Stadtmitte; Portsmouthplatz - Mercatorstraße - Wittekindstraße - Fürstenstraße - Güntherstraße - Hohestraße - Gallenkampstraße - Mercatorstraße - Portsmouthplatz,150-500
347,2016-09-22 00:00:00,Patriotische Europäer gegen die Islamisierung des Abendlandes,2016-12-05,19:00-22:00,DU-Stadtmitte; Portsmouthplatz - Mercatorstraße - Wittekindstraße - Fürstenstraße - Güntherstraße - Hohestraße - Gallenkampstraße - Mercatorstraße - Portsmouthplatz,150-500
348,2016-09-24 00:00:00,"Verlesen eines offenen Briefes und Übergabe von Unterschriften an die Stadt durch Betroffene des ""Integrationsgesetzes"" und anschließend Treffpunkt für Informationsaustausch für Betroffene ",2016-09-26,12:00-19:00,DU-Stadtmitte; Burgplatz,100
349,2016-09-26 00:00:00,Bericht aus Berlind bundesweite MoDE,2016-10-03,17:30-18:30,DU-Stadtmitte; Königstraße,20-30
350,2016-09-26 00:00:00,600. MoDe-Feier vor der alten Stadtbibliothek Düsseldorfer Straße,2016-10-10,17:30-18:30,DU-Stadtmitte; Königstraße,20-30
351,2016-09-26 00:00:00,Rio nach Fußball WM und Olympia,2016-10-17,17:30-18:30,DU-Stadtmitte; Königstraße,20-30
352,2016-09-26 00:00:00,Mit System in die Altersarmut?,2016-10-24,17:30-18:30,DU-Stadtmitte; Königstraße,20-30
353,2016-09-26 00:00:00,Kinderarmut in Deutschland und Armut in Duisburg,2016-10-31,17:30-18:30,DU-Stadtmitte; Königstraße,20-30
354,2016-09-27 00:00:00,Schluss mit den anhaltenden Angriffen des türkischen Staates auf die kurdische Bevölkerung und Freiheit für den kurdischen Volksrepräsentanten Abdullah Öcalan,2016-09-28,17:00-19:00,DU-Stadtmitte; Portsmouthplatz,30
355,2016-09-27 00:00:00,Antipegida Kundgebung: Keinen Fußbreit der Pegida DU,2016-10-03,18:00-22:00,DU-Stadtmitte; Mercatorstraße - Königstraße - Claubergstraße - Friedrich-Wilhelm-Straße - Portsmouthplatz,100-300
356,2016-09-27 00:00:00,Antipegida Kundgebung: Keinen Fußbreit der Pegida DU,2016-11-07,18:00-22:00,DU-Stadtmitte; Mercatorstraße - Königstraße - Claubergstraße - Friedrich-Wilhelm-Straße - Portsmouthplatz,100-300
