Nr.,Anmeldedat.,Art,Thema,Datum,Zeit,"Ort, Aufzugsweg",TN-Zahl
259,2019-10-10 00:00:00,A (K),Solidarität mit den Opfern von Halle,2019-10-10 00:00:00,19:00-20:00,DGB-Haus-ehemalige Synagoge-Kuhlenwall-jüdische Gemeinde-Hängende Gärten -DGB Haus,50-70
260,2019-10-16 00:00:00,A (K),Angriff der türkischen Armee auf die kurdischen Gebiete in Nordsyrien,2019-10-17 00:00:00,18:00:00,DU-Stadtmitte; Portsmouthplatz - Mercatorstraße - Saarstraße - Landfermannstraße - Köhnenstraße - Am Burgacker - Lifesaver-Brunnen (ZK) - Königstraße - Kuhtor - Kuhstraße - Steinsche Gasse - Friedrich-Wilhelm-Platz - Friedrich-Wilhelm-Straße - Portsmouthplatz,100-150
261,2019-10-16 00:00:00,K,Krieg in Nordsyrien,2019-10-17 00:00:00,18:00-18:45,DU-Stadtmitte; König-Heinrich-Platz,10-20
262,2019-10-21 00:00:00,K,Freiheit für die Delfine im Duisburger Zoo 2019,2019-10-27 00:00:00,11:00-15:00,DU-Duissern; Mülheimer Straße 273,50
263,2019-10-21 00:00:00,M,Gedenken an die Opfer der Progromnach 1938,2019-11-09 00:00:00,16:30-18:30,DU-Marxloh; Kaiser-Friedrich-Straße 33,15
264,2019-10-22 00:00:00,A (K),Türkische Armee raus aus Rojava (Nordsyrien) / Der Angriff der Türkei gegen die Selbstverwaltung vom 09.10.2019 in Nordsyrien,2019-10-24 00:00:00,18:00-20:30,DU-Stadtmitte; Lifesaver-Brunnen - Kuhstraße - Kuhtor - Untermauerstraße - Steinsche Gasse - Friedrich-Wilhelm-Straße - Portsmouthplatz,250
265,2019-10-25 00:00:00,A (K),Demo gegen Terror und Gewalt,2019-11-17 00:00:00,13:00-18:00,DU-Stadmitte; Portsmouthplatz - Friedrich-Wilhelm-Straße - Steinsche Gasse - Schwanenstraße - Alter Markt/Froschkünigbrunnen - Salvatorstraße - Burgplatz - Gutenberstraße - Köhnenstraße - Friedrich-Albert-Lange-Platz - Landfermannstraße - Saarstraße - Mercatorstraße - Portsmouthplatz,300
266,2019-10-26 00:00:00,K,Kundgebung gegen PEGIDA NRW & Co,2019-11-17 00:00:00,13:00-18:00,DU-Stadtmitte; Portsmouthplatz,150
267,2019-10-25 00:00:00,A (K),Fridays for future - Gemeinsam gegen die Klimakrise,2019-11-15 00:00:00,10:00-12:00,DU-Stadmitte; Portsmouthplatz - Friedrich-Wilhelm-Straße - Tonhallenstraße - Cecilienstraße - Realschulstraße - Gottfriedstraße - Könzgenstraße - Musfeldstraße - Papendelle - Dellplatz,100
268,2019-10-25 00:00:00,A (K),Fridays for future - Gemeinsam gegen die Klimakrise,2019-11-29 00:00:00,13:30-17:00,DU-Stadtmitte; Portsmouthplatz - Friedrich-Wilhelm-Straße - Friedrich-Wilhelm-Platz - Steinsche Gasse - Poststraße - Gutenbergstraße - Köhnenstraße - Friedrich-Albert-Lange-Platz - Landfermannstraße - König-Heinrich-Platz,500
269,2019-10-25 00:00:00,M,Kritik an Sanktionen (§ 31 SGB III),2019-11-07 00:00:00,07:30-12:00,"DU-Hamborn; Jobcenter Duisburg Nord (Duisburger Straße 277, 47166 Duisburg)",ca. 10
270,2019-10-27 00:00:00,K,Ergebnisse Landtagswahl Thüringen,2019-11-04 00:00:00,17:30-19:30,DU-Stadtmitte; Lifesaver-Brunnen,40-50
271,2019-10-27 00:00:00,K,Jahresabschlussbericht,2019-12-02 00:00:00,17:30-19:30,DU-Stadtmitte; Averdunkplatz,40-50
272,2019-10-07 00:00:00,K,"Tierrechte, Tierausbeutung, Veganismus, Klimawandel etc",2019-11-02 00:00:00,11:00-15:00,DU-Stadmitte; König-Heinrich-Platz,5-15
273,2019-10-29 00:00:00,K,Gegen die Tierhaltung des Zirkus Max Renz,2019-11-01 00:00:00,14:45-16:15,DU-Neumühl; Gerlingstraße,10
274,2019-11-02 00:00:00,A (K),Gegen den Rechtsterror,2019-11-17 00:00:00,13:30-15.30,"DU-Stadtmitte, Theater am Marientor, Dellplatz",500
275,2019-11-03 00:00:00,K,Für ein weltoffenes und solidarisches Duisburg,2019-11-17 00:00:00,13:00-18:00,"DU-Neudorf, Ludgeriplatz",150
276,2019-11-01 00:00:00,K,Gegenkundgebung gegen die rechte Kundgebung am 17.11.2019,2019-11-17 00:00:00,13:00-18:00,Du-Stadtmitte; Rathausvorplatz,250
277,2019-11-04 00:00:00,K,Rechten Terror stoppen,2019-11-17 00:00:00,13:00-18:00,"DU-Hochfeld, Brückenplatz",15-30
278,2019-11-04 00:00:00,K,"Kultur-Manifestation für eine vielfältige, tolerante, solidarische Stadtegsellschaft - gegen den Aufzug rassistischer, rechter Parteien und Bewegungen am 17. November auf der Bahnhofsplatte Duisburg",2019-11-17 00:00:00,12:30-14:30,"DU-Stadtmitte, Hauptbahnhof",500-800
279,2019-11-04 00:00:00,M,Alljährliches Gedenken an die Hinrichtung von Harro Schulze-Boysen und Frau,2019-12-22 00:00:00,18:30-19:30,Karl-Lehr Str. 9  47053 Duisburg,80
280,2019-11-04 00:00:00,K,Krankenhaussicherungsgesetz,2019-11-12 00:00:00,10:00-13:00,"Duisburg-Hamborn, Altmarkt, Richterstraße",5
281,2019-11-04 00:00:00,K,Kritik an Missständen in der Massentierhaltung,2019-11-08 00:00:00,17:00-19:00,DU-Neudorf; Koloniestraße  / Ecke Sternbuschweg,15
282,2019-11-04 00:00:00,K,"Tierrechte, Veganismus, Klimawandel ",2019-11-08 00:00:00,17:00-20:00,DU-Stadtmitte; Vor dem Forum,10-15
283,2019-11-05 00:00:00,K,Gegen die Zustände in der Massentierhaltung,2019-11-16 00:00:00,15:00-18:00,"vor dem Forum Duisburg, Königsstraße 48, 47051 Duisburg",15
284,2019-11-05 00:00:00,M,DIE RECHTE für Duisburg,2019-11-08 00:00:00,10:00-12:00,DU-Walsum; Kometenplatz,5-10
285,2019-11-08 00:00:00,K,"Freiheit für Muslim Elma, der letzte Inhaftierte der Angeklagten in den Münchner Prozesse.",2019-11-15 00:00:00,15:00-19:00,Averdunkplatz ( Königstrasse),70-100
286,2019-11-06 00:00:00,A (K),Existenzgefährdende Situation in der Landwirtschaft,2019-11-25 00:00:00,10:00-12:30,"Niederrheinhalle Wesel – B8 über Duisburg (wenn möglich) – Düsseldorf (Ministerium für Umwelt, Landwirtschaft, Natur- und Verbraucherschutz (LANUV), Schwannstraße 3 - Essen",300
287,2019-11-08 00:00:00,A (K),Gedenspaziergang für die Opfer der Reichspogromnacht 1938,?????,16:00-18:00,"Sammelplatz Amtsgerichtstr Ecke Landwehrstr, Friedrichsplatz, Harmoniestraße Stopp Hausnr. 38, Weinhagenstr., links Fabrikstraße Stopp Hausnr. 26, links Dr. Hammacherstr Stopp Hausnr. 13, Landwehrstraße Stopp Hausnr. 19 und 16, Ende Amtsgerichtstr",20
288,2019-11-12 00:00:00,K,Demo Barrierefreiheit im öffentl. Nahverkehr; Neuer Nahverkehrsplan… Wegfall der Haltstelle Moltkestr.,2019-11-25 00:00:00,14:30-15:15,Rathausvorplatz,ca 50
289,2019-11-10 00:00:00,K,"Tierrechte, Veganismus, Klimawandel ",2019-11-16 00:00:00,17:00-20:00,DU-Stadtmitte; Vor dem Forum,10-15
290,2019-11-12 00:00:00,K,Kein Platz für Pegida,2019-11-17 00:00:00,13:00-18:00,"DU-Stadtmitte, Friedrich-Wilhalm-Str. 69 (Cafe Museum)",50
291,2019-11-14 00:00:00,K,"""Für uns mehr LehrerInnen, für uns mehr Musik- und Sportunterricht etc.""",2019-11-25 00:00:00,15:00-15:10,DU-Stadtmitte; Forum,90-100
292,2019-11-17 00:00:00,K,Kritik an Missständen in der Massentierhaltung ,2019-11-20 00:00:00,17:00-19:00,DU-Stadtmitte; Koloniestraße / Ecke Sternbuschweg,15
293,2019-11-16 00:00:00,K,"Tierrechte, Veganismus, Klimawandel ",2019-11-22 00:00:00,17:00-20:00,"Du-Stadtmitte, Münzstraße 9-11, Rossmann Filiale ",10-15
294,2019-11-20 00:00:00,K,"Haushaltsdebatte im Rathaus. Motto: ""Schwarze Null"" ",2019-11-25 00:00:00,14:00-16:00,"Burgplatz 19, 47051 Duisburg, Rathausvorplatz",10
295,2019-11-21 00:00:00,A (K),Stopp Stahl-Exit - Wir mit dir. Für Stahl,2019-12-03 00:00:00,12:00-14:00,DU-Hamborn; Kaiser-Wilhelm-Straße (Tor 1); vor dem Hauptverwaltungsgebäude der tkSE AG,ca. 4000
296,2019-07-23 00:00:00,A (K),"""entschlossen gegen das Patriarchat""",2019-11-25 00:00:00,17:30-19:30,DU HBf,30-50
297,2019-11-28 00:00:00,K,"Tierrechte, Veganismus, Klimawandel ",2019-12-06 00:00:00,17:00-20:00,"Du-Stadtmitte, Münzstraße 9-11, Rossmann Filiale ",10-15
298,2019-11-28 00:00:00,K,"Tierrechte, Veganismus, Klimawandel ",2019-12-14 00:00:00,17:00-20:00,"Du-Stadtmitte, Münzstraße 9-11, Rossmann Filiale ",10-15
299,2019-11-28 00:00:00,K,"Tierrechte, Veganismus, Klimawandel ",2019-12-20 00:00:00,17:00-20:00,"Du-Stadtmitte, Münzstraße 9-11, Rossmann Filiale ",10-15
300,2019-11-28 00:00:00,K,"Tierrechte, Veganismus, Klimawandel ",2019-12-28 00:00:00,17:00-20:00,"Du-Stadtmitte, Münzstraße 9-11, Rossmann Filiale ",10-15
301,2019-12-01 00:00:00,K,Kritik an Missständen in der Massentierhaltung ,2019-12-04 00:00:00,17:00-18:30,DU-Stadtmitte; Koloniestraße / Ecke Sternbuschweg,15
302,2019-12-03 00:00:00,K,Haftbedingung des inhaftierten Oppositionsführers der HDP in der Türkei,2019-12-03 00:00:00,17:00-19:00,"Portsmouthplatz, Duisburger HBf ",20
303,2019-12-03 00:00:00,A (K),Fridays for future - Gemeinsam gegen die Klimakrise,2019-12-20 00:00:00,13:30-15:00,HBF - Mercatorstraße - Friedrich-Wilhelm-Straße - Tonhallenstr. - Kölner Str. - Cecillienstr. - Realschulstr. - Düsseldorfer Str. (AK vor Galeria Kaufhof),100
304,2019-12-10 00:00:00,K,Demo gegen Assad und Putin,2019-12-15 00:00:00,17:00-20:00,"Duisburg Hbf. [- Königstraße - ""Schiffsmasken""???]",60-100
305,2019-12-11 00:00:00,K,"""Wir wollen ohne Diktatura und Diktatur Europa-Bitte Europa lehnt die Aliyev-Familiendiktatur ab""",2019-12-14 00:00:00,12:00-13:30,Duisburg Hbf. Portsmouthplatz,25
306,2019-12-13 00:00:00,K,Protestkundgebung bzgl. des Mordes an Mine O.,2019-12-15 00:00:00,15:00-17:00,Averdunkplatz,50-60
307,2019-12-13 00:00:00,K,"""Uiguren, die leiden durch sexuelle Gewalt ,körperliche Gewalt  und geistige  Gewalt""",2019-12-21 00:00:00,16:30-18:30,vor dem Amtsgericht Ecke Königstraße,200
