lfd. Nr.,Posteingang,Veranstalter/Vertreter,Thema,Versammlungsort,Datum der Vers.,Zeit
95,2013-05-17 00:00:00,ISCON Deutschland,"Wahrnehmung religiöser Freiheit mit dem Ziel Barrieren zwischen Atheisten, anderen Religionen und uns abzubauen","Anger, vor dem neuen Angerbrunnen",2013-06-03 00:00:00,11.00 - 19.00
96,2013-05-21 00:00:00,Brennessel e.V.,Gedenken der Opfer von Gewalt,Fischmarkt neben der Sparkasse,2013-11-25 00:00:00,16:30-18:30
096a,2013-05-21 00:00:00,Bündnis 90 / Die Grünen Thüringen,Wahlversammlung mit Spitzenkandidatin Fr. Göring Eckardt,Wenigemarkt,2013-09-16 00:00:00,16.30 - 20.00
97,2013-05-21 00:00:00,FDP,Wahlkampf Bundestagswahl,Anger 1,2013-09-17 00:00:00,16:00 - 20:00
98,2013-05-21 00:00:00,FDP,Wahlkampf Bundestagswahl,Anger 1,2013-09-18 00:00:00,16:00 -20:00
99,2013-05-23 00:00:00,AG Nachhaltigkeit Erfurt e.V. Grüne Jugend ADFC,Critical Mass - Wir behindern nicht den Verkehr-Wir sind der Verkehr,"Willy-Brandt-Platz- Bürgermeister Wagner-Straße Löberstr. Veilchenstr. Weiße Gasse, Domplatz",2013-05-31 00:00:00,18:00:00
100,2013-05-24 00:00:00,CDU Fraktion im Erfurter Stadtrat,Kita Gebührenerhöhung,zwischen Restaurant SiJu und Rathausarcade ,2013-06-12 00:00:00,16:00 -17:00
101,2013-05-24 00:00:00,CDU Fraktion im Erfurter Stadtrat,Kita Gebührenerhöhung,zwischen Restaurant SiJu und Rathausarcade ,2013-07-03 00:00:00,16:00 -17:00
102,2013-05-24 00:00:00,verdi-Ortsverein Mittelthüringen im Fachbereich 9 Kommunikation,Veranstaltung für und mit Beschäftigten bei mobilcom/debitel im Rahmen der ver.di Aktionswoche 2013,Fußweg vor Dubliner Straße 12 ,2013-06-06 00:00:00,12:00 -18:00
103,2013-05-31 00:00:00,IG Bau Bezirk Erfurt,"""Rente muss zum Leben reichen"" Stoppt die rente mit 67""","Warsbergstraße 1, zum Domplatz, Wenigemarkt Anger, Regierungsstraße Hirschgarten Lange Brücke",2013-06-01 00:00:00,13:30-15:30
104,2013-06-03 00:00:00,Wohnen inklusiv - sozial leben e.V.,Es brennt noch Licht im Rotdornweg,"Rotdornweg , Nordhäuser Straße Marktstraße",2013-06-12 00:00:00,16:45 17:45
105,2013-06-04 00:00:00,Gemeinschaft ehemaliger Politischer Häftlinge,Kranzniederlegung für die Opfer des Volksaufstandes ,Andreasstraße ehemalige JVA,2013-06-17 00:00:00,10.00 -11.00
106,2013-06-04 00:00:00,AG BVkE Erfurt,Marsch für das Leben,"W.-Brandt-Platz, Bahnhofstraße, Juri-Gagarin-Ring, Eichenstraße Regierungsstraße, Anger Platz vor dem Anger 1, Kaufhaus",2013-06-29 00:00:00,13.00 - 16.00
,,,,,,Aufbau ab 10.00 
,,,,,,abbau bis 18.00
107,2013-06-05 00:00:00,Kulturagentenprogramm,1354 Eine Geschichte aus Liebe und Blut,"Domplatz Marktstraße, Allerheiligenstraße, Waagegasse Benediktsplatz, Wenigemarkt, Gotthardstraße, Taubengasse, Schildgasse, Hütergasse, Horngasse,  Benediktsplatz, Michaelisstraße, Allerheiligenstraße, Domplatz, Pergamentergasse, Michaelisstraße ",2013-06-07 00:00:00,18:00 -19:00
108,2013-06-06 00:00:00,Erfurter Bündnis für soziale Gerechtigkeit - gegen Rechtsextremismus,Donnerstagsdemos,Angerkreuz,2013-06-27 00:00:00,17:00 - 18:00
,,,,,2013-07-04 00:00:00,
,,,,,2013-07-11 00:00:00,
,,,,,2013-07-18 00:00:00,
,,,,,2013-07-25 00:00:00,
,,,,,2013-08-01 00:00:00,
,,,,,2013-08-08 00:00:00,
,,,,,2013-08-15 00:00:00,
,,,,,2013-08-22 00:00:00,
,,,,,"30,08.13",
,,,,,2013-09-05 00:00:00,
,,,,,2013-09-12 00:00:00,
109,2013-06-11 00:00:00,DGB- Jugend Thüringen,Feierabend - 30 h Woche für alle,Anger 1,2013-06-24 00:00:00,15:00 - 18:00
110,2013-06-11 00:00:00,SPD Thüringen,Bundestagswahl 2013,Domplatz,30.08.13 Aufbau,
,,,,,2013-08-31 00:00:00,
,,,,,Versammlung,10.00 - 15.00
,,,,,2013-09-01 00:00:00,
,,,,,Abbau,
111,2013-06-14 00:00:00,AIDS-Hilfe Thüringen e.V.,Nacht der Solidarität,Angerdreieck,2013-06-22 00:00:00,16.30 - 20.30
112,2013-06-17 00:00:00,"Büro ""Die Linke"", Apolda / Weimar",Solidarität mit Taksim,Willy-Brandt-Platz (Auftakt) - Bahnhofstraße - Anger (Zwischenkundgebung) - Hirschgarten (Abschluss),2013-06-19 00:00:00,ab 17.00
,,,,,,
