Lfd. Nr,PE,Versammlungsanmelder,Thema,Ort der Versammlung / Aufzugsstrecke,Datum der Versammlung,Uhrzeit der Versammlung
93.0,2018-04-12 00:00:00,Deutsch-Russische Freundschafts-Gesellschaft in Thüringen e.V. ,Gedenkveranstaltung aus Anlass des 73. Jahrestages der Befreiung vom Hitlerfaschismus,Hauptfriedhof,2018-05-08 00:00:00,10.00 – 11.00 Uhr
94.0,2018-04-17 00:00:00,Critical Mass Erfurt,"Wir behindern nicht den Verkehr, wir sind der Verkehr, verkehrspolitische Radtour",Willy-Brandt-Platz à Fischmarkt,2018-04-27 00:00:00,18.30 – 20.30 Uhr
95.0,2018-04-20 00:00:00,Bürgerinitiatve pro Kalzhütte-Oelze,Probleme bei Gebietsreform,Thüringer Landtag,2018-04-26 00:00:00,14.00 – 15.00 Uhr
96.0,2018-04-19 00:00:00,Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,Willy-Brandt-Platz,2018-05-05 00:00:00,13.45 – 16.00 Uhr
,,,,,,
97.0,2018-04-23 00:00:00,ACHAVA e.V.,Thüringen trägt Kippa – Marsch gegen Antisemitismus,Aufzug Mikwe à Neue Synagoge,2017-04-25 00:00:00,10.30 – 12.00 uhr
98.0,2018-04-23 00:00:00,Frauen*kampftag Thüringen,Reproduktive Rechte sind Menschenrechte ! Weg mit § 218 + § 219 – her mit der Selbstbestimmung,Mozartallee 3,2018-05-08 00:00:00,09.30 – 12.30 Uhr
99.0,2018-04-23 00:00:00,Aktionskreis für Frieden e.V.,"""Eine friedliche Welt ist möglich"" (Radfahrer) bzw. ""Frieden geht"" (Staffellauf gegen Rüstungsexporte)",Domplatz,2018-05-29 00:00:00,11.30 – 13.30 Uhr
100.0,2018-04-25 00:00:00,Offene Arbeit des Evangelischen Kirchenkreises,Nächstenliebe verlangt Klarheit – Evangelische Kirche gegen Rechtsextremismus,Spielbergtor / Schillerstraße ,2018-05-01 00:00:00,10.00 – 20.00 Uhr
101.0,2018-04-25 00:00:00,SPD Erfurt,Wahlkampfabschluss SPD Oberbürgermeisterwahl,Hirschgarten,2018-04-28 00:00:00,16.00 – 19.00 Uhr
102.0,2018-04-28 00:00:00,Fraktion Bündnis 90/Die Grünen im Thüringer Landtag,Heraus zum 01. Mai,Jürgen-Fuchs-Straße / Tschaikowskistraße,2018-05-01 00:00:00,10.00 – 20.00 Uhr
103.0,2018-04-30 00:00:00,Sprachcafé Erfurt,Mahnwache für ein solidarisches Europa,Jürgen-Fuchs-Straße 1,2018-05-03 00:00:00,17.00 – 18.30 Uhr
,,,,,,
104.0,2018-04-30 00:00:00,Einzelperson,Für Religionsfreiheit,Vor Fischmarkt 13,2018-05-05 00:00:00,13.45 – 16.00 Uhr
