Lfd. Nr,PE,Versammlungsanmelder,Thema,Ort der Versammlung /,Datum der Versammlung,Uhrzeit der Versammlung
103.0,2017-06-05,Pulse of Europe Erfurt,Pulse of Europe Erfurt – ein pro-europäische Kundgebung,Wenigemarkt,2017-09-17 00:00:00,13.30 – 15.30 Uhr
104.0,2017-06-05,Pulse of Europe Erfurt,Pulse of Europe Erfurt – ein pro-europäische Kundgebung,Wenigemarkt,2017-09-24 00:00:00,13.30 – 15.30 Uhr
,,ABGESAGT,,,,
105.0,2017-06-15,Einzelpersonen,"Appell an wahre Menschlichkeit + wachrütteln der Bevölkerung, Öffentlichkeitsarbeit, Vorgehensweise der Ämter (stark willkürlich), insbesondere Jugendamt",Fischmarkt,2017-06-15 00:00:00,15.00 – 16.00 Uhr
106.0,2017-06-15,Einzelperson,Öffentliche Sitzung des Stadtrates,Fischmarkt,2017-07-01 00:00:00,9:30-19:00
107.0,2017-06-18,DIE RECHTE Thüringen,Aufbruch in eine neue Zeit – Die Rechte Thüringen informiert!,Fischmarkt (geändert: Carl-Zeiß-Straße),2017-09-30 00:00:00,08.00 – 22.00 Uhr
,,,,,,
,,ABGESAGT,,,,
108.0,2017-06-19,Einzelperson,Tierschutz / gegen Massentierhaltung,Anger (Angerdreieck),2017-06-24 00:00:00,14.00 – 18.00 Uhr
109.0,2017-06-19,Critical Mass Erfurt,"Verkehrspolitische Radtour – Wir behindern nicht den Verkehr, wir sind der Verkehr",Willy-Brandt-Platz à Innenstadt à Fischmarkt,2017-06-30 00:00:00,18.30 – 20.00 Uhr
110.0,2017-06-08,SPD-Landesverband Thüringen,Bundestagswahl 2017,Vor Anger 1,2017-08-29 00:00:00,10.00 – 20.00 Uhr
111.0,2017-06-21,Die Rechte Thüringen,Nationale Vielfalt statt linksfaschistische Einfalt,Moskauer Straße,2017-06-24 00:00:00,9:00-9.45 Uhr
112.0,2017-06-21,Die Rechte Thüringen,Nationale Vielfalt statt linksfaschistische Einfalt,Vilniuspassage,2017-06-24 00:00:00,10:15-11:00 Uhr
113.0,2017-06-21,Die Rechte Thüringen,Nationale Vielfalt statt linksfaschistische Einfalt,Färberwaidweg,2017-06-24 00:00:00,11:30- 12:15 Uhr
114.0,2017-06-21,Die Rechte Thüringen,Nationale Vielfalt statt linksfaschistische Einfalt,Melchendorfer Markt,2017-06-24 00:00:00,12:30-13:15 Uhr
115.0,2017-06-19,Bund der Heimatvertriebenen e.V. Landesverband Thüringen,Gedenken für die Opfer von Flucht und Vertreibung,Hauptfriedhof,2017-06-28 00:00:00,10.00 – 11.00 Uhr
116.0,2017-06-16,AIDS – Hilfe Thüringen e.V.,Namen und Steine,Domplatz,2017-11-04 00:00:00,15.00 – 20.00 Uhr
117.0,2017-06-26,Einzelperson,Gegen Nationalismus und Faschismus,Thälmannstraße 26,2017-07-01 00:00:00,09.00 – 18.00 Uhr
,,,,,,
,,ABGESAGT,,,,
118.0,2017-06-29,Toni e.V.,Tierschutz geht uns alle an – Für die Stimmlosen,Angerdreieck (Aufzug durch die Innenstadt),2017-09-16 00:00:00,14.00 – 18.00 Uhr
119.0,2017-06-30,CSD Bündnis Erfurt,"Wir sagen JA! Regenbogen-Flashmob für Liebe, Akzeptanz und Gleichberechtigung",Angerdreieck,2017-06-30 00:00:00,18.00 – 19.00 Uhr
,,,,,,
120.0,2017-07-04,Einzelperson,Türkei bombardiert Afrin in Syrien – Deswegen wollen wir gegen die Türkei protestieren,Aufzug Willy-Brandt-Platz à Angerdreieck,2017-07-08 00:00:00,14.00 – 17.00 Uhr
,,,,,,
,,ABGESAGT ,,,,
121.0,2017-07-04,Ver.di Fachbereich Handel,Tarifrunde Einzelhandel – Besuch beim Verband,Futterstraße / Schottenstraße,2017-07-10 00:00:00,10.10 – 10.40 Uhr
122.0,2017-07-03,Aktionskreis für Frieden e.V.,Hiroshima-Nagasaki-Gedenken,"Friedenspfahl, EGA Nordeingang",2017-08-09 00:00:00,17.00 – 18.00 Uhr
123.0,2017-07-03,Aktionskreis für Frieden e.V.,Weltfriedenstag – Eine Welt ohne Waffen schaffen,"Friedenspfahl, EGA Nordeingang",2017-09-01 00:00:00,16.30 – 17.30 Uhr
124.0,2017-07-10,Einzelperson,Türkei bombardiert Afrin in Syrien – Deswegen wollen wir gegen die Türkei protestieren,Willy-Brandt-Platz à Staatskanzlei,2017-07-13 00:00:00,14.00 – 16.00 Uhr
125.0,2017-07-11,Ortsteilrat Bindersleben,Mahnendes Gedenken – Bombenabwurf 1944,Friedhof Bindersleben,2017-07-15 00:00:00,10.00 – 10.30 Uhr
126.0,2017-07-12,Ver.di Thüringen Fachbereich Handel,Tarifrunde Einzelhandel,Vor Anger 1,2017-07-18 00:00:00,10.30 – 11.30 Uhr
127.0,2017-07-12,Greenpeace Erfurt,"GAT ""Antibiotika in Billigfleisch""",Eislebener Straße 4,2017-07-31 00:00:00,11.00 – 15.00 Uhr
128.0,2017-07-17,Albert Schweitzer Stiftung für unsere Umwelt,Tierschutz / gegen Massentierhaltung,Fischmarkt,2017-07-21 00:00:00,15.00 – 19.00 Uhr
129.0,2017-07-18,Critical Mass Erfurt,Verkehrspolitische Radtour – Wir behindern nicht den Verkehr – wir sind Verkehr,Aufzug: Willy-Brandt-Platz à Stadtgebiet à Fischmarkt,2017-07-28 00:00:00,18.30 – 20.30 Uhr
130.0,2017-07-17,"Gewerkschaft Nahrung, Genuss, Gaststätten, Region Thüringen",Gute Arbeit – faire Löhne,Aufzug: Leipziger Straße à Schillerstraße 44,2017-08-10 00:00:00,06.00 – 08.00 Uhr
131.0,2017-07-18,ADFC Erfurt e.V. im Aktionsbündnis zur Europäischen Mobilitätswoche,"Europäische Mobilitätswoche, Parking Day: Es wird gezeigt, wie Parkraum alternativ genutzt werden kann",Futterstraße ,2017-09-16 00:00:00,10.00 – 18.00 Uhr
,,,,,,Siehe AZ: 2003/625/17
,,,,,,
132.0,2017-07-24,FDP,Bundestagswahlkampf,Futterstraße Kaisersaal,2017-09-17 00:00:00,18.00 – 19.30 Uhr
133.0,2017-07-26,Grüne Jugend Thüringen,"Wahlkampf-Aktion: Change the System, not the Climate",Angerdreieck,2017-08-10 00:00:00,15.00 – 18.00 Uhr
