"Lfd.
Nr.",PE,Versammlungsmelder,Thema,Ort d. Versammlung / Aufzugsstrecke,"Datum der
Versammlung",Uhrzeit der Versammlung,Jahr,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Datum
78.0,2021-03-18,IG Metall Erfurt,"Warnstreik in der Metall- und Elektroindustrie
Wir fordern: Beschäftigung sichern, Zukunft gestalten, Entgeltvolumen von 4%","Flughafenstraße 4, vor dem Eingang des Verwaltungsgebäudes",2021-03-23 00:00:00,08:00 - 10:00 Uhr,21.0,,,,,,,,,,21.0
79.0,2021-03-19,IG Metall Erfurt,"Warnstreik in der Metall- und Elektroindustrie
Wir fordern: Beschäftigung sichern, Zukunft gestalten, Entgeltvolumen von 4%",Menschenkette: Schwerborner Straße 1 (Schuler Pressen Erfurt) – Hugo-John-Straße/Stotternheimer Straße – Richard-Hegelmann-Straße (Siemens Energy Erfurt),2021-03-26 00:00:00,13:00 - 15:00 Uhr,21.0,,,,,,,,,,21.0
80.0,2021-03-23,Thüringen steht zusammen,Es reicht! Stoppt den Coronawahnsinn!,Autokorso,2021-04-10 00:00:00,15.30 - 17.00 Uhr,21.0,,,,,,,,,,21.0
81.0,2021-03-24,verdi.di,Tarifverhandlungen,Gehweg parallel zur Nordhäuser Straße SF Helios,2021-03-30 00:00:00,12:30 - 13:30 Uhr,21.0,,,,,,,,,,21.0
82.0,2021-03-26,verdi.di,"Mahnwache: Das Druckhaus muss in Erfurt bleiben - Solidarität mit den Zeitungsdrucker:innen von TA, TLZ und OTZ",Gottstedter Landstraße ,2021-03-28 00:00:00,18.30 - 20.00 Uhr,21.0,,,,,,,,,,21.0
83.0,2018-02-19,Einzelperson,Mahnwache: Ein christliches Zeichen setzen,St. Christophorus-Straße ,01.04. - 30.04.2021,19.00 - 20.30 Uhr,21.0,,,,,,,,,,21.0
84.0,2021-03-29,Alternative für Deutschland - AfD ABGESAGT !!,Tag der Arbeit,"Treffpunkt Juri-Gagarin-Ring/Kreuzung Löberstraße -> Löberstraße -> Arnstädter Straße -> Johann-Sebastian-Bach-Straße, Abschlusskundgebung",2021-05-01 00:00:00,11:00 - 15:00 Uhr,21.0,,,,,,,,,,21.0
85.0,2021-03-30,ver.di Thüringen,"Das Druckhaus muss in Erfurt bleiben - Solidarität mit den Zeitungsdrucker*innen von TA, TLZ und OTZ!",Sammeln/Start Domplatz - Marktstraße - Fischmarkt - Anger (Kundgebung) - Meyfartstraße - JGR (vor ehem. TA-Gebäude) ,2021-04-10 00:00:00,12:00 - 14:00 Uhr,21.0,,,,,,,,,,21.0
86.0,2021-03-31,Deutsch-Russiische Freundschaftsgesellschaft in Thüringen e.V.,Gedenken an den 76. Jahrestag der Befreiung vom Nationasozialismus und Faschismus,"Hauptfriedhof, Binderslebener Landtsraße 75, ""Sowjetisches Ehrenmal""",2021-05-08 00:00:00,10:00 - 11:00 Uhr,21.0,,,,,,,,,,21.0
87.0,2021-03-31,Linksjugend Erfurt und Fridays For Future Erfurt,Solidarische Pandemiebekämpfung jetzt!,Hirschgarten (vor der Staatskanzlei),2021-04-10 00:00:00,14.00 - 16.00 Uhr,21.0,,,,,,,,,,21.0
