Datum,Ort(e) der Kundgebung,"Zahl der Teilnehm er / -
innen",Thema,Unnamed: 4
2018-11-02 00:00:00,Bahnhofsvorplatz,50-250,Abrüsten statt Aufrüsten,
"20.10.2018
27.10.2018
03.11.2018
10.11.2018",Bahnhofsvorplatz,100,Samstags-Mütter und das Verschwinden von politischen Gefangenen,
2018-10-19 00:00:00,Rudolfplatz,70,Naturschutz und Klimaschutz,
2018-11-03 00:00:00,Wallrafplatz,50-250,Abrüsten statt Aufrüsten,
2018-10-18 00:00:00,Schildergasse/Zeppelinstraße,15,Frieden und Abrüstung,
2018-10-20 00:00:00,Domplatte (Blau-Gold-Haus),40,Für Demokratie in Brasilien/Gegen Faschismus,
"26.10.2018
02.11.2018
09.11.2018
16.11.2018
23.11.2018",Rudolfplatz (West) Domplatte (Termin 4+5) Römerbogen,100,Naturschutz und Klimaschutz,
2018-10-20 00:00:00,Breslauer Platz,100 - 200,"Protest gegen islamistischen Terror und
völkischen Faschismus und Islamhass",
2018-10-16 00:00:00,Breslauer Platz,120,Gegen Terror in Deutschland,
2018-10-27 00:00:00,Köln-Mülheim,150,jährlicher Trauermarsch,
2018-10-16 00:00:00,"Ebertplatz
Breslauer Platz",k.A.,"Gegen den Missbrauch von Gewalttaten durch
Rechtsextremismus",
2018-10-18 00:00:00,Köln-Ehrenfeld (Venloer Straße),15 - 40,"Tierrechte, Umweltschutz, Gesundheit",
2018-11-19 00:00:00,Schildergasse (Antoniterkirche),30,"Projektion antisemitischer Vorfälle im Rahmen
der Aktionswochen gegen Antisemistismus",
2018-10-27 00:00:00,Bahnhofsvorplatz,30-60,Iran,
2018-10-25 00:00:00,Leverkusen,20-40,"Tarifrunde im Gebäudereinigerhandwerk
Weihnachtsgeld für Reinigungskräfte",
2018-10-23 00:00:00,"Bahnhofsvorplatz
Heumarkt",100-120,"Freiheit für Abdullah Öcalan
Gegen Isolation und Folter",
2018-10-27 00:00:00,Ebertplatz,3,Ost-West-Achse/Hambacher Forst,
2018-11-24 00:00:00,Schildergasse (Brunnen),10-14,Pelz,
2018-10-25 00:00:00,Chlodwigplatz,15-40,Cube of Truth,
2018-10-27 00:00:00,Alter Markt,40,"Keine Ost-West-U-Bahn - stattdessen Ausbau
des öffentlichen Verkehrs in ganz Köln",
2018-11-09 00:00:00,Domplatte (Blau-Gold-Haus),10,120 Dezibel,
2018-10-27 00:00:00,Wiener Platz,20-30,ÖPNV Ost-West-U-Bahn,
2018-11-03 00:00:00,Domplatte (Blau-Gold-Haus),20,Gegen Ehrenmord im Iran und Irak,
2018-11-17 00:00:00,"Parkplatz St. Georg Kirche
Chglodwigplatz",50,"5 vor 12 für den Klimaschutz:
zusammentrommeln für den Kohleausstieg",
2018-11-12 00:00:00,Bahnhofsvorplatz,30-100,Protest gegen Sammelabschiebungen,
2018-11-03 00:00:00,Domplatte (Blau-Gold-Haus),7,UN - Migrationspakt,
2018-11-24 00:00:00,Bahnhofsvorplatz,10-20,Heimat und Weltfrieden,
2018-11-01 00:00:00,Eingang Deutzer Kirmes,15-40,Cube of Truth,
2018-11-02 00:00:00,"Eitorfer Straße 16-20
Kalker Hauptstr./Trimbornstr.",10,"50 Jahre Arbeiterbund für den Wiederaufbau
der KPD",
2018-11-03 00:00:00,"Bahnhof Deutz
Breslauer Platz",100,Korruption bei Präsidentschaftswahl in Kamerun,
2018-11-10 00:00:00,Offenbachplatz,500,#BühneFreiFürDieEuropäischeRepublik,
2018-11-22 00:00:00,"Berliner Platz 3 Leverkusen
Karlstraße 9a Leverkusen",50-70,"Leverkusen bricht das Schweigen -
keine Gewalt gegen Frauen!",
2018-11-04 00:00:00,Neumarkt,300,Für den Frieden in Europa,
2018-11-04 00:00:00,Domplatte (Römerbogen),6-10,Für Freiheit der politischen Gefangenen im Iran,
2018-11-04 00:00:00,Neumarkt,200,Gegen Rassisten im Schafspelz,
2018-10-31 00:00:00,Bahnhofsvorplatz,80-100,Türkei greift Rojava an,
2018-11-01 00:00:00,Bahnhofsvorplatz,100,Terrorstaat Türkei greift Nordsyrien an,
2018-11-05 00:00:00,Köln (Kämmergasse 22),5 - 10,"Einreichung einer Beschwerde bei der DEG zu
einer Agrarinvestition im Kongo",
2018-11-04 00:00:00,"Köln-Ehrenfeld
(Edelweißpiratendenkmal - Allerweltshaus)",15 - 30,"Tag der Tote, traditioneller mexikanischer Totentag",
2018-11-03 00:00:00,"Roncalliplatz -
Unter Käster",250 - 300,Türkei greift Kobani an,
2018-11-24 00:00:00,"Eigelsteintor
Breslauer Platz",100,"Verschärfung der Polizeigesetze -
Polizeigesetz NRW",
2018-12-08 00:00:00,Severinskirchplatz,6,Menschenrechtsverteidigerinnen weltweit,
2018-11-10 00:00:00,Wallrafplatz,15,UN - Migrationspakt,
2018-12-01 00:00:00,-,50,"Lichtergang zum Gedenken anlässlich Welt-
Aids-Tag",
"07.11.2018
14.11.2018
21.11.2018
28.11.2018
05.12.2018
12.12.2018",Wallrafplatz,10-20,Freiheit für Adil und alle inhaftierten JournalistInnen in der Türkei,
2018-11-09 00:00:00,Hans-Böckler-Platz,160,"Streikveranstaltung im Rhmen der Tarifrunde
Speditionen und Logistik NRW",
2018-11-24 00:00:00,"Leverkusen, vor Bayerwerk",20,Mahnwache gegen Glyphosat,
2018-11-24 00:00:00,Hahnenstr. 27,10-20,Pelz ist Tierquälerei,
2018-11-17 00:00:00,Wiener Platz,4-10,Oben bleiben - Ost-West-Bahn,
2018-11-09 00:00:00,Bahnhof Ehrenfeld,5,Gedenken an Reichskristallnachtpogrome,
2018-11-08 00:00:00,Rudolfplatz,15 - 40,"Tierrechte, Umweltschutz, Gesundheit",
2018-11-25 00:00:00,Domplatte (am Blau-Gold-Haus),100,Frauen gegen Gewalt,
2018-11-10 00:00:00,"Bahnhofsvorplatz
Heumarkt",150 - 200,"Schluss mit den Isolations- und Haftbedingungen
des Herrn Abdullah Öcalan",
2018-11-10 00:00:00,Roncalliplatz,200,Gesundheit von Abdullah Öcalan,
2018-11-18 00:00:00,Bartholomäus-Schink-Str. 66/67,5-10,"Netta Barzilai:
Kulturbotschafterin für Besatzung und Vertreibung",
2018-12-08 00:00:00,Domplatte (Römerbogen),5-30,"Protest gegen Folter, Mord und illegale Organentnahme an Falun Gong Praktizierenden in China, bzgl. ""Tag der Menschenrechte""",
2018-11-24 00:00:00,Weltjugendtagsweg,20,"Demonstartion für christliche Werte in der
Gesellschaft",
2018-11-24 00:00:00,Leverkusen,200,Stoppt die Massenmigration nach Deutschland - Nein zum UN-Migrationspakt,
2018-12-20 00:00:00,Cäcilienstraße 29-33,100,Keine städtischen Räume für die AfD,
2018-11-19 00:00:00,Domplatte,15-40,Cube of Truth,
2018-12-15 00:00:00,Chlodwigplatz,25,Stoppt Braunkohle in Köln-Merkenich,
2018-11-24 00:00:00,Wallrafplatz,15,UN - Migrationspakt,
2018-12-01 00:00:00,Breslauer Platz,150,Korruption und Völkermord in Kamerun,
2018-11-15 00:00:00,Bahnhof,15-40,Cube of Truth,
2018-11-17 00:00:00,Bahnhofsvorplatz,70,Lebensbedingungen in Afghanistan,
2018-12-08 00:00:00,Dürener Straße 177,10,"Orca-Shows - Angebote von TUI sollen
abgschaftt werden",
2018-12-09 00:00:00,Deutzer Werft,1000,Zusammen hier für unser Revier,
2018-12-01 00:00:00,Hahnenstr. 27,10-20,Pelz ist Tierquälerei,
2018-11-23 00:00:00,-,12-16,"Ressourcenverschwendung - übermäßiger
Konsum",
"21.11.2018
22.11.2018
23.11.2018
24.11.2018","Bahnhofsvorplatz
Bahnhofsvorplatz Domplatte (Römerbogen) Domplatte (Römerbogen)",70,Unterstützung: der jüngste Widerstand im Iran!,
"22.11.2018
29.11.2018",Barbarossaplatz,15-40,Cube of Truth,
2018-11-25 00:00:00,Bahnhofsvorplatz,50-70,Keine Gewalt an Frauen,
2018-11-24 00:00:00,"Königsberger Platz, Leverkusen",150,Refugees still welcome - Seenotrettung ist kein Verbrechen,
2018-11-25 00:00:00,Bahnhofsvorplatz,300,UN-Migrationspakt stoppen!,
2018-12-01 00:00:00,-,1-15,Umweltschutz,
2018-12-08 00:00:00,Wiener Platz,50,Umweltkampftag,
2018-12-16 00:00:00,Zeppelinstraße,10-14,Weihnachten-Massentierhaltung,
2018-11-25 00:00:00,Bahnhofsvorplatz,500,Rechte Gewalttäter stoppen,
2018-12-04 00:00:00,Albertus-Magnus-Platz,150,"Kein Raum für rassistische Gesellschafts-
entwürfe",
2018-12-15 00:00:00,Bahnhofsvorplatz,10-20,Heimat und Weltfrieden,
2018-12-08 00:00:00,Breslauer Platz,450,"Protest gegen das Dieselfahrverbot und für Lösungen die den finanziellen Verlust
ausgleichen",
2018-11-29 00:00:00,"Köln, Venloer Straße 354e
(Bahnhof Ehrenfeld), neben dem Kiosk ""Yilmaz""",5,EU-Reform - Die europäische Union braucht neue demokratische Strukturen,
2018-12-01 00:00:00,Bahnhofsvorplatz,50,Rumänischer Nationalfeiertag,
"06.12.2018
07.12.2018
08.12.2018
09.12.2018
10.12.2018
11.12.2018
12.12.2018
13.12.2018
14.12.2018
15.12.2018
16.12.2018",Bahnhofsvorplatz,10-20,Für die Gesundheit Abdullah Öcalans,
2018-11-30 00:00:00,"Henry-Ford-Str.
Eitorfer Str. West-Allee
Kalker Hauptstr./Trimbornstr.",5-10,50 Jahre Arbeiterbund für den Wiederaufbau der KPD,
2018-12-04 00:00:00,unter Deutzer Brücke,70,"Nikolaus komm in unser Haus -
Aktion gegen Wohnungslosigkeit",
2018-12-01 00:00:00,-,10-20,Ge(h)meinsam - öffentliche Gehmeditation,
2018-12-09 00:00:00,Bahnhofsvorplatz,20-30,Human Rights Day,
"08.12.2018
09.12.2018","Breslauer Platz
Bahnhofsvorplatz",300,Dem rechten Mob nicht die Straße überlassen,
2018-12-01 00:00:00,"Köln
Bonner Straße/Elsaßstraße",10 - 15,Fairer Lohn für Rider,
2018-12-03 00:00:00,Bahnhofsvorplatz,40,Gegen Abschiebungen nach Afghanistan,
2018-12-01 00:00:00,Bahnhofsvorplatz,50,Unterstützung: der jüngste Widerstand im Iran!,
2018-12-15 00:00:00,Wiener Platz,20,Weihnachtsfrieden im 1. Weltkrieg,
2018-12-20 00:00:00,Eigelsteintor,20,Männer gegen Gewalt an Frauen,
2018-12-09 00:00:00,Domplatte (Blau-Gold-Haus),15,UN-Migrationspakt,
2018-12-15 00:00:00,Domplatte (Blau-Gold-Haus),15,Freie Medien,
2018-12-08 00:00:00,Domplatte (Blau-Gold-Haus),50,Freiheit für Syrien,
2018-12-10 00:00:00,Wallrafplatz,100,"Aufstehen gegen Rassismus, Faschismus und
Kriminalität migrantischer Organisationen",
2018-12-18 00:00:00,Bahnhofsvorplatz,26,Weihnachten,
"06.12.2018
13.12.2018
20.12.2018","Venloer Str./Gürtel
Neumarkt Stadtgarten",15-40,Cube of Truth,
2018-12-10 00:00:00,Otto-Platz,50,Einkommensrunde mit der Deutschen Bahn,
2018-12-16 00:00:00,Domplatte (am Blau-Gold-Haus),50,Du bist nicht allein! Weihnachten neu verstehen,
2018-12-08 00:00:00,Roncalliplatz,20-30,Solidarität mit iranischer Bevölkerung,
2018-12-09 00:00:00,Wallrafplatz,500,Europas Untergang,
2018-12-09 00:00:00,Schildergasse/Güzenichstr.,5,"EU-Reform - Die europäische Union braucht
neue demokratische Strukturen",
2018-12-15 00:00:00,Dürener Straße 460,20,"Gegen Hungerlöhne, Schikanen und
Betriebsratbehinderungen",
2018-12-18 00:00:00,Theo-Buranen-Platz,70,Verkehrswende statt Ost-West-Tunnel,
2018-12-31 00:00:00,Wallrafplatz,40,Gegen Sexismus und Rassismus,
2018-12-15 00:00:00,Neumarkt,20,"Nachhaltigkeit ""Alles für alle und zwar umsonst""",
2018-12-16 00:00:00,Wallrafplatz,10-20,Vegane Weichnachten,
2018-12-16 00:00:00,Breite Straße/Auf dem Berlich,5,"EU-Reform - Die europäische Union braucht
neue demokratische Strukturen",
2018-12-18 00:00:00,Theo-Buranen-Platz,250,Schulplatznot in Köln,
2018-12-21 00:00:00,Bahnhofsvorplatz,50-200,"FridaysForFuture - Klimawandel jetzt statt
morgen!",
2018-12-21 00:00:00,"Leverkusen, Bahnhofstr.,
Kölner Str., Birkenbergstr.",10-15,Cube of Truth,
"19.12.2018
27.12.2018","Wallrafplatz
Wiener Platz",15-40,Cube of Truth,
"20.12.2018
21.12.2018
22.12.2018",Bahnhofsvorplatz,50,Unterstützung: Verhaftung von 30 Metallarbeitern,
2018-12-23 00:00:00,"Leverkusen, Bahnhofstr.",10-20,Cube of Truth,
2018-12-22 00:00:00,,20-30,Solidarität mit iranischer Bevölkerung,
2018-12-28 00:00:00,Bahnhofsvorplatz,50 - 200,"Fridays for Future, Schülerkundgebung zum
Klimaschutz",
