Datum,Unnamed: 1,erwartete TN-Zahl,Thema
2023-03-27 00:00:00,Brelsauer Platz,250,Kundgebung anlässlich des Warnstreiks der Eisenbahn- und Verkehrsgewerkschaft Köln
2023-03-27 00:00:00,Gymnasium Kreuzgasse bis KVB Betriebshof Nord,300,Solidarität mit den Beschäftigten im öffentlichen Dienst
2023-03-29 00:00:00,Hans-Mayer-Weg,200,Mahnwache: Freiheit der Meinung
2023-03-29 00:00:00,Am Verteilerkreis bis Westfriedhof,200,"Autokorso für Freiheit der Meinung, gegen Russophobie"
2023-03-29 00:00:00,Bahnhofsvorplatz,25,Glaubensfreiheit für Christen mit einem bibeltreuen Werteverständnis
2023-03-29 00:00:00,Grüngürtel,20,Internationale Solidarität mit der Ukraine
2023-03-29 00:00:00,Venloer Straße/Klarastraße (St. Josef),20,Internationale Solidarität mit der Ukraine
2023-03-30 00:00:00,Ostmerheimer Straße / Olpener Straße,300,Warnstreikkundgebung Marburger Bund NRW
2023-03-30 00:00:00,Dillenburger Straße 25,10,Entzug der Aufenthalte mehrerer Personen
2023-03-31 00:00:00,Bahnhofsvorplatz,10,Biblische Werte
2023-03-31 00:00:00,Neumarkt,25,"Mahnwache von Wissenschaftler*innen in 
Solidarität mit der Letzten Generation und ihren Forderungen anlässlich des 6. Syntheseberichtes des IPCC vom 20. März 2023"
2023-04-01 00:00:00,Bahnhofsvorplatz,150,Protest gegen iranische Politik
2023-04-01 00:00:00,Kalk Post,,Housing Action Day 2023
2023-04-01 00:00:00,Aachener Weiher,4500,Menschenrechtsverletzung im Iran
2023-04-01 00:00:00,Domplatte Domforum,20,"Tierrechte, Veganismus"
2023-04-01 00:00:00,Wallrafplatz,12,Evangelium verbreiten
2023-04-01 00:00:00,Weidenweg/Westhover Weg,100,Ausbau der A4 / Verkehrswende
2023-04-01 00:00:00,Wiener Platz,20,Solidarität mit Palästina
2023-04-01 00:00:00,Schildergasse (P&C),6,Die Liebe und die Freiheit
2023-04-01 00:00:00,Wiesdorfer Platz 19,10,"Stoppt die Verfolgung von Falun Gong, Stoppt Foter,Mord und Organraub von Falun Gong- Praktizierenden durch die Kommunistische Partei China.Stoppt Transplantationstourismus nach China ,endCCP."
2023-04-01 00:00:00,Domplatte (Blau-Gold-Haus),10,"Tierrechte, Veganismus"
2023-04-01 00:00:00,Bahnhofsvorplatz,60,Unterstützung der Arbeiterbewegung in Frankreich
2023-04-02 00:00:00,Decksteiner Weiher,200,Smartmob für die inhaftierten Mädchen aus Ekbatian/Theran im Iran
2023-04-02 00:00:00,Pariser Platz,100,Kein Raum der AfD!
