Datum;Thema;Teilnehmende (Angemeldet);Teilnehmende (tatsächlich);Kategorie;Stichwörter
16.01.2018;Die Stadt wird schöner. Werbefrei.;50;25;Stadtpolitik;
16.01.2018;Für vegane Mode;8;8;Umwelt;
16.01.2018;Wir pfeifen auf Stuttgart 21 (vom 09.01. bis 27.03.2018 - jeweils Di.);10;1;Umwelt;
17.01.2018;Warnstreik der Beschäftigten Autokorso 1;20;20;Arbeit und Sozialpolitik;
17.01.2018;Warnstreik der Beschäftigten Autokorso 2;40;33;Arbeit und Sozialpolitik;
17.01.2018;Warnstreik der Beschäftigten;100;120;Arbeit und Sozialpolitik;
17.01.2018;Warnstreik der Beschäftigten;600;350;Arbeit und Sozialpolitik;
17.01.2018;Tarifauseinandersetzung in der Berliner Metall- und Elektroindustrie;800;500;Arbeit und Sozialpolitik;
17.01.2018;Stoppt die Verfolgung von Falun Gong-Praktizierenden! (vom 08.11.2017 bis 07.02.2018 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.);10;2;Ausland;
17.01.2018;Antikriegsmahnwache (vom 10.01. bis 28.03.2018 - jeweils Mi.);15;5;Frieden;
17.01.2018;Schluss mit der aggressiven Politik der NATO (vom 13.12.2017 bis 01.03.2018 - jeweils Mi.,Do.,Fr.);20;;Frieden;
17.01.2018;Merkel muss weg (vom 22.11.2017 bis 21.11.2018 - jeweils Mi.);50;7;rechts;
17.01.2018;Merkel-muss-weg-Mittwoch (vom 17.01. bis 19.12.2018 - jeweils Mi.);50;;rechts;
17.01.2018;#GEMEINSAMFÜRWOHNRAUM statt #MONOPOLY.;20;15;Stadtpolitik;Mieten
17.01.2018;Tierrechtsaktivismus;20;10;Tiere;
17.01.2018;Tierschutz: Gegen Massentierhaltung;7;3;Tiere;
17.01.2018;Nie wieder Schmidt! - Für eine bessere Agrarpolitik;40;40;Umwelt;
18.01.2018;Nein zu Rassismus;10;12;Antifa und Antira;
18.01.2018;Warnstreik der Beschäftigten (Tarifauseinandersetzung in der Berliner Metall- und Elektroindustrie);300;400;Arbeit und Sozialpolitik;
18.01.2018;Gegen die Menschenrechtsverletzungen in Nordkorea ... (vom 04.01. bis 05.04.2018 - jeweils Do.);20;8;Ausland;
18.01.2018;Stoppt die Verfolgung von Falun Gong-Praktizierenden! (vom 08.11.2017 bis 07.02.2018 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.);10;2;Ausland;
18.01.2018;staatenlos.info-Mahnwache für Heimat und Weltfrieden GG 139 GG 146 (vom 01.01. bis 31.03.2018 - täglich);10;;rechts;Reichsbürger
18.01.2018;Gesetzliche Haltungskennzeichnung für tierische Produkte;3;3;Tiere;
18.01.2018;Mahnwache zur Erinnerung an die Opfer des atomaren Super-Gau im japanischen Fukushima, für den weltweiten Frieden UND soziale Gerechtigkeit (vom 18.09.2017 bis 15.03.2018 - jeweils Mo.,Do.);20;2;Umwelt;
18.01.2018;Nationales Glyphosat-Verbot;20;20;Umwelt;
18.01.2018;Umweltschutz;50;30;Umwelt;
19.01.2018;Warnstreik der Beschäftigten (Tarifauseinandersetzung in der Berliner Metall- und Elektroindustrie);200;215;Arbeit und Sozialpolitik;
19.01.2018;Die Entscheidung der US-Regierung, Jerusalem als Hauptstadt Israels anzuerkennen;200;60;Ausland;
19.01.2018;Stoppt die Verfolgung von Falun Gong-Praktizierenden! (vom 08.11.2017 bis 07.02.2018 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.);10;3;Ausland;
