Versammlungsgeschehen in Dresden März bis Dezember 2023,Unnamed: 1,Unnamed: 2,Unnamed: 3
,,,
 Datum ,Ort,Thema,Teilnehmerzahl Anmeldung
2023-07-24 00:00:00,Dresden,"Montagsdemonstration ""Dresden vereint - Das Original"" an der Torwirtschaft für Frieden, Fr iheit, Tradition",500
2023-07-26 00:00:00,Dresden,Nein zum Heim - Ja zur Heimat!,200
2023-07-26 00:00:00,Dresden,Nein zum Heim – Ja zur Heimat!,200
2023-07-28 00:00:00,Dresden,"Aufklärung und Unterschriftensammlung für ""Lassen wir die Kriche im Dorf und die Moschee in Istanbul""",100
2023-07-31 00:00:00,Dresden,"Montagsdemonstration ""Dresden vereint - Das Original"" an der Torwirtschaft für Frieden, Fr iheit, Tradition",500
2023-08-02 00:00:00,Dresden,Nein zum Heim - Ja zur Heimat!,200
2023-08-04 00:00:00,Dresden,"Aufklärung und Unterschriftensammlung für ""Lassen wir die Kirche im Dorf und die Moschee in Istanbul""",100
2023-08-04 00:00:00,Dresden,"Das Gesundheitswesen steht auf - für eine gesunde Zukunft. Missstände und Personalmangel im Gesundheitswesen aufzeigen und beseitigen.Gegen gesellschaftliche Spaltung, für einen friedlichen Dialog",
2023-08-07 00:00:00,Dresden,"Montagsdemonstration ""Dresden vereint - Das Original"" an der Torwirtschaft für Frieden, Fr iheit, Tradition",500
2023-08-09 00:00:00,Dresden,Nein zum Heim - Ja zur Heimat!,200
2023-08-11 00:00:00,Dresden,"Aufklärung und Unterschriftensammlung für ""Lassen wir die Kriche im Dorf und die Moschee in Istanbul""",100
2023-08-14 00:00:00,Dresden,"Montagsdemonstration ""Dresden vereint - Das Original"" an der Torwirtschaft für Frieden, Fr iheit, Tradition",500
2023-08-15 00:00:00,Dresden,Brennpunktprotest – NoGo Areas zurückerobern!,200
2023-08-16 00:00:00,Dresden,Art. 20a GG = Leben schützen!,20
2023-08-16 00:00:00,Dresden,"NEIN zum Heim, JA zur Heimat!",200
2023-08-18 00:00:00,Dresden,"Aufklärung und Unterschriftensammlung für ""Lassen wir die Kriche im Dorf und die Moschee in Istanbul""",100
2023-08-18 00:00:00,Dresden,"Palästina, Syrien, Irak, Liebia, Yamen, Afrika, über Flüchtlinge, Verlust und Hunger auf der Erde. Und gegen die Unannehmlichkeiten, die andere verursachen, wenn sie vor die Moschee kommen und Lieder spielen.",200
2023-08-19 00:00:00,Dresden,Galerie der Aufklärung,10
2023-08-21 00:00:00,Dresden,"Montagsdemonstration ""Dresden vereint - Das Original"" an der Torwirtschaft für Frieden, Fr iheit, Tradition",500
2023-08-23 00:00:00,Dresden,aus Liebe zum Überleben!,25
2023-08-24 00:00:00,Dresden,Tag der Unabhängigkeit der Ukraine,300
2023-08-25 00:00:00,Dresden,Lassen wir die Kirche im Dorf und die Moschee in Istanbul,100
2023-08-25 00:00:00,Dresden,"Alle zusammen für Glaubensfreiheit, für sichtbare religiöse Vielfalt, gegen Islamfeindlichkeit",400
2023-08-25 00:00:00,Dresden,Kein islamischer Staat in unserem Land,300
2023-08-28 00:00:00,Dresden,"Montagsdemonstration ""Dresden vereint - Das Original"" an der Torwirtschaft für Frieden, Fr iheit, Tradition",500
2023-08-28 00:00:00,Dresden,KEIN Moschee Neubau in Dresden – Zurück mit euch ins Morgenland!,300
2023-08-30 00:00:00,Dresden,30. August Tag geggen Abschiebehaft Gedenken an Verstorbene in Abschiebehaft,30
2023-08-30 00:00:00,Dresden,Klimakatastrophe zulassen = Verfassungsbruch,25
2023-08-30 00:00:00,Dresden,"Nein zum Heim, Ja zur Heimat!",200
2023-09-01 00:00:00,Dresden,"Das Gesundheitswesen steht auf - für eine gesunde Zukunft. Missstände und Personalmangel im Gesundheitswesen aufzeigen und beseitigen.Gegen gesellschaftliche Spaltung, für einen friedlichen Dialog",500
2023-09-04 00:00:00,Dresden,"Freie Sachsen unterstützen den Neustart beim Montagsprotest in Dresden""",10
2023-09-04 00:00:00,Dresden,Dresden vereint 3.0 - darf´s ne Kelle braune Soße mehr sein?,100
2023-09-04 00:00:00,Dresden,"Montagsdemonstration ""Dresden vereint - Das Original"" an der Torwirtschaft für Frieden, Fr iheit, Tradition",500
2023-09-04 00:00:00,Dresden,Wer schweigt stimmt zu - Zeit für Bürgerverantwortung,300
2023-09-06 00:00:00,Dresden,Art. 20a GG = Leben schützen!,25
2023-09-06 00:00:00,Dresden,"Nein zum Heim, Ja zur Heimat!",300
2023-09-09 00:00:00,Dresden,Autokorso für Frieden und Freiheit,100
2023-09-09 00:00:00,Dresden,"Autokorso Querdenken 351 - jetzt erst Recht, zum Bautzner Friedensfest - MAKE LOVE - NOT WAR!",100
2023-09-10 00:00:00,Dresden,"Tierschutz-Camp für Tier-, Menschenrechte, veganismus und Umweltschutz",50
2023-09-10 00:00:00,Dresden,Keine Ruhe mehr für das Altparteienkartell!,300
2023-09-10 00:00:00,Dresden,Nein zum Heim! Ja zur Heimat,300
2023-09-10 00:00:00,Dresden,"Tierschutz-Camp für Tier-, Menschenrechte, Veganismus und Umwelt_x0002_schutz“ ",
2023-09-11 00:00:00,Dresden,"Montagsdemonstration ""Dresden vereint - Das Original"" an der Torwirtschaft für Frieden, Fr iheit, Tradition",500
2023-09-12 00:00:00,Dresden,Brennpunkt Hinterland ,161
2023-09-13 00:00:00,Dresden,"Nein zum Heim, Ja zur Heimat!",200
2023-09-15 00:00:00,Dresden,"Globaler Klimastreik von Fridays for Future - wir fordern Klimagerechtigkeit, auch in Sachsen",5000
2023-09-15 00:00:00,Dresden,PARK(ing) Day 2023,60
2023-09-15 00:00:00,Dresden ,Globaler Klimastreik ,1000
2023-09-15 00:00:00,Dresden,Brennpunktprotest – NoGo Areas zurückerobern!,
2023-09-15 00:00:00,Dresden,"Die Grüne Parade: Eine Demonstration mit Kindern für die Sicherheit von Kindern im Straßenverkehr. Tempo 30, Zebrastreifen, Spielstraßen -. dies sind unsere Forderungen an die Stadt Leipzig. Wir wünschen uns sichere Schulwege rund um die Eisenbahnstraße",100
2023-09-15 00:00:00,Dresden,Brennpunkt Hinterland ,75
2023-09-16 00:00:00,Dresden,Jahrestag von Mahsa Amini,60
2023-09-18 00:00:00,Dresden ,"Für Frieden, Freiheit, Selbstbestimmung",
2023-09-18 00:00:00,Dresden,Wer schweigt stimmt zu - Zeit für Bürgerverantwortung“,
2023-09-18 00:00:00,Dresden,Auf Radwegen zwischen Loschwitz und Blasewitz - Eilversammlung gegen den Umsetzungsstopp!,100
2023-09-20 00:00:00,Dresden,Protestmarsch der letzten Generation vor den Kipppunkten gegen den fossile Alltag und die Handlungsunfähigkeit der Bundesregierung! Für das 9€-Ticket und ein Tempolimit,25
2023-09-20 00:00:00,Dresden,"Nein zum Heim, Ja zur Heimat!",200
2023-09-24 00:00:00,Dresden,Mit dem Schlauchboot auf der Elbe von Zschieren nach Übigau.,50
2023-09-25 00:00:00,Dresden,Wer schweigt stimmt zu - Zeit für Bürgerverantwortung“,300
2023-09-25 00:00:00,Dresden,"Frieden, Freiheit, Tradition",500
2023-09-25 00:00:00,Dresden,Demonstration gegen Ungerechtigkeiten,10
2023-09-27 00:00:00,Dresden,Protestmarsch der letzten Generation vor den Kipppunkten gegen den fossile Alltag und die Handlungsunfähigkeit der Bundesregierung! Für das 9€-Ticket und ein Tempolimit,25
2023-09-27 00:00:00,Dresden,"Nein zum Heim, Ja zur Heimat!",200
2023-09-28 00:00:00,Dresden,Auf Radwegen zwischen Loschwitz und Blasewitz - Eilversammlung gegen den Umsetzungsstopp!,100
2023-10-02 00:00:00,Dresden,Wer schweigt stimmt zu - Zeit für Bürgerverantwortung ,300
2023-10-03 00:00:00,Dresden,Oktoberveranstaltung AfD,300
2023-10-03 00:00:00,Dresden,Dem Faschismus keine Feier,161
2023-10-04 00:00:00,Dresden,Nein zum Heim - Ja zur Heimat!,200
2023-10-04 00:00:00,Dresden,weg von fossil - hin zu gerecht,25
2023-10-05 00:00:00,Dresden,Stoppt den fossilen Wahnsinn,27
2023-10-06 00:00:00,Dresden,"Das Gesundheitswesen steht auf - für eine gesunde Zukunft. Missstände und Personalmangel im Gesundheitswesen aufzeigen und beseitigen. Gegen gesellschaftliche Spaltung, für einen friedlichen Dialog",2 Fahrzeuge
2023-10-07 00:00:00,Dresden,Isolationshaft beenden - Freiheit für Abdullah Öcalan,20
2023-10-09 00:00:00,Dresden,Wer schweigt stimmt zu- Zeit für Bürgerverantwortung,300
2023-10-09 00:00:00,Dresden,Solidarität mit den Menschen in Israel. Kundgebung gegen den Terror der Hamas,100
2023-10-11 00:00:00,Dresden,weg von fossil - hin zu gerecht,25
2023-10-11 00:00:00,Dresden,"Nein zum heim, Ja zur heimat!",200
2023-10-11 00:00:00,Dresden,Solidarität mit Israel - Gemeinsam gegen den Terror der Hamas,60
2023-10-13 00:00:00,Dresden ,Lassen wir die Kirche im Dorf und die Moschee in Istanbul!!!,40
2023-10-13 00:00:00,Dresden,Der Kohleausstieg ist Nicht Verhandelbar! Klimaschutz auch in Deutschland!,20
2023-10-14 00:00:00,Dresden,Russland raus aus der Ukraine! Kriegsverbrechen ahnden,20
2023-10-14 00:00:00,Dresden,Frieden für Palästina ,500
2023-10-14 00:00:00,Dresden,Solidarität mit Israel - Keine Bühne der Hamas!,250
2023-10-14 00:00:00,Dresden,Solidarität mit den Menschen in Israel. Gegen den Terror der Hamas. Gegen jeden Antisemitismus,50
2023-10-15 00:00:00,Dresden,Russland raus aus der Ukraine! Kriegsverbrechen ahnden,20
2023-10-16 00:00:00,Dresden,Wer schweigt stimmt zu- Zeit für Bürgerverantwortung,300
2023-10-18 00:00:00,Dresden,Weg von fossil hin zu gerecht - Gegen den Verfassungsbruch der Bundesregierung,25
2023-10-18 00:00:00,Dresden,"Nein zum Heim, Ja zur Heimat!",200
2023-10-18 00:00:00,Dresden,Freiheit und safe Gaza,200
2023-10-19 00:00:00,Dresden,Schluss mit dem brutalen Krieg in Israel und Palästina! Entschiedene Verurteilung der faschistischen Hamas und ihres Terrors! Stopp den israelischen Staatsterror gegen die palästinensischen Bevölkerung! Freiheit für Palästina! ,25
2023-10-21 00:00:00,Dresden,Die schweigende Stimme - Die Kinder in Gaza,25
2023-10-22 00:00:00,Dresden,Olof Palme Friedensmarsch ,100
2023-10-22 00:00:00,Dresden,Abriss statt Asylheim - Nein zum Heim - JA zur Heimat!,200
2023-10-22 00:00:00,Dresden,Kein Platz für Brandstifter*innen in Klotzsche! Friedlich und solidarisch miteinander gegen Rechts!,80
2023-10-22 00:00:00,Dresden,Frieden für Gaza.Solidarität mit Paläsina,50
2023-10-23 00:00:00,Dresden,Wer schweigt stimmt zu - Bürgerverantwortung,300
2023-10-25 00:00:00,Dresden,Isolationshaft beenden - Freiheit für Abdullah Öcalan,25
2023-10-25 00:00:00,Dresden,"Nein zum Heim, Ja zur Heimat!",200
2023-10-28 00:00:00,Dresden,ES REICHT mit Reichsfanatisten. Echsen gegen Ätz,10
2023-10-28 00:00:00,Dresden,Heimath und Weltfrieden,500
2023-10-28 00:00:00,Dresden,"Freie Sachsen unterstützen den Protest der Querdenker in Dresden - mit Stefan Trautmann für Frieden, Freiheit und Souveränität""",30
2023-10-28 00:00:00,Dresden,Demo für Frieden und Freiheit - Reformation der Gesellschaft,3000
2023-10-28 00:00:00,Dresden,Kein Platz für rechte Hetze in Dresden,300
