Lfd. Nr. ,Datum der Vers,Uhrzeit der Vers,Ort der Vers,Thema der Versammlung,Datum der Anmeldung,Unnamed: 6,Unnamed: 7
,,,,,,TN angemeldet,TN anwesend
292.0,2021-07-31 00:00:00,15.30-17.30,Domplatz,Recht auf selbstbestimmtes Leben,2021-07-27 00:00:00,100,15
293.0,2021-08-06 00:00:00,15.00-17.00,Ernst-Reuter-Allee/ Breiter Weg,Erinnerung an die Bombenabwürfe auf Hiroshima/ Nagasaki,2021-07-29 00:00:00,20,k.A.
294.0,2021-09-01 00:00:00,16.00-17.00,Friedensbrücke,Weltfriedenstag/ Antikriegstag,2021-07-29 00:00:00,15,23
295.0,2021-08-14 00:00:00,10:00-13:30,Autokorso,"Kein Impfzwang, Aufhebung der Corona Maßnahmen",2021-08-08 00:00:00,300,17
296.0,2021-08-25 00:00:00,17:00-20:00,Sternbrücke (Stadtparkseite),Greenpeace für einen Zukunftsdialog,2021-08-09 00:00:00,5,k.A. 
297.0,2021-09-10 00:00:00,17:00-20:00,Breiter Weg (vor Cafe Flair),Kundgebung der MLPD/Internatinalistischen Liste,2021-08-10 00:00:00,10 bis 20,k.A.
298.0,2021-08-16 00:00:00,16:00-17:00,Gedenksstein im Hektorweg,"Gedenken an Rick L, Todesopfer rechter Gewalt",2021-08-09 00:00:00,15,k.A.
299.0,2021-09-03 00:00:00,14:00-19:30,Wilhelmstädter Platz,Sommer-Sonne-Sozialismus,2021-08-12 00:00:00,50,30
300.0,2021-08-21 00:00:00,15:00-17:30,Domplatz,Recht auf Leben in Selbstbestimmung und Frieden,2021-08-16 00:00:00,60,7
301.0,2021-09-01 00:00:00,16:30-18/:00,Fiedensplatz,Weichen für eine sichere und friedliche Zukunft stellen! Abrüstung und Entspannung wählen!,2021-08-16 00:00:00,30 bis 50,50
302.0,03.09.2021 bis zum 05.09.2021,11:00:00,Aufzug,„Ohne Kerosin Nach Berlin“ – Fahrradprotest für Klimagerechtigkeit (Südtour),2021-07-30 00:00:00,50 bis 100,37
303.0,2021-09-03 00:00:00,16:30-19:30,Domplatz,FahrRad für Klimaneutralität – An der OvGU und in ganz Magdeburg,2021-08-15 00:00:00,100,60
304.0,2021-09-19 00:00:00,14:00-17:00,Aufzug/Domplatz,Bessere Bedingungen für den Radverkehr in Magdeburg,2021-08-18 00:00:00,500,594
305.0,2021-09-11 00:00:00,15:00-18:00,Fahrradbrücke an der alten Elbe (Stadtparkseite),Kleines Stadtparkfest,2021-08-19 00:00:00,30,k.A.
306.0,2021-09-12 00:00:00,10:30-14:00,Sternbrücke (Stadtparkseite),Kundgebung der MLPD / Internationalistischen Liste ,2021-08-19 00:00:00,10 bis 20,k.A.
307.0,2021-08-24 00:00:00,14:00-20:00,Breiter Weg/Alter Markt,Vielfalt in der Demokratie,2021-08-21 00:00:00,10,
308.0,2021-09-16 00:00:00,10:00-14:00,vor dem Landtag,gegen die anhaltende Politik des Verschweigens und Vertuschens im Fall Oury Jalloh,2021-08-20 00:00:00,50,50
309.0,2021-09-20 00:00:00,11:00-12:00,Ulrichsplatz,Bundestagswahl 2021,2021-08-23 00:00:00,200,50
310.0,2021-08-27 00:00:00,14:00-22:00,Liebigstraße,"Cornern am Hassel: Racial Profiling, Verdrängung der Jugendkultur",2021-08-23 00:00:00,200,300
311.0,2021-09-25 00:00:00,14:00-20:00,Domplatz,Heimat und Weltfrieden,2021-08-26 00:00:00,500,80
312.0,2021-09-05 00:00:00,8:00-11:00,Aufzug/Kundgebung,Gedächnis Fahrradfahrt,2021-08-31 00:00:00,10 bis 30,6
313.0,2021-09-18 00:00:00,09:00-17:00,Breiter Weg,Mehr Aufenthaltsqualität auf dem Breiten Weg (im Rahmen der Europäischen Mobilitätswoche),2021-07-30 00:00:00,200,
314.0,2021-09-06 00:00:00,09:00-12:00,Willy-Brandt-Platz,"Streik der GDL, Präsenzveransdtaltung unserer Mitglieder",2021-08-31 00:00:00,300,150
315.0,2021-09-18 00:00:00,11:000-13:00,"Domplatz, Nordseite",Recht auf selbstbestimmtes Leben und Frieden,2021-09-01 00:00:00,40,
316.0,2021-09-02 00:00:00,14:30-17:30,Otto-von-Guericke-Straße 12a,Gegen Schikane im Jobcenter,2021-08-28 00:00:00,5,k.A.
317.0,2021-09-18 00:00:00,13:00-15:00,"Domplatz, Nordseite",Recht auf selbstbesimmtes Leben,2021-09-01 00:00:00,100,
318.0,2021-09-16 00:00:00,12:30-16:00,Alter Markt,Unity Tour (Wahlkampfveranstaltung),2021-09-01 00:00:00,20,
319.0,2021-09-06 00:00:00,18:00-19:30,Breiter Weg/Mc Donalds,Montagskundgebung,2021-09-03 00:00:00,15,k.A.
320.0,2021-09-08 00:00:00,12:00-16:00,Alter Markt,Kundgebung zur aktuellen Situation in Afghanistan,2021-09-02 00:00:00,50,30
321.0,2021-09-11 00:00:00,14:30-17:30,"Domplatz, Nordseite",Recht auf selbstbestimmtes Leben,2021-09-06 00:00:00,70,10
322.0,2021-09-11 00:00:00,15:00-17:00,Domportal,Solidarität mit den Menschen in Daraa und Idlib (Syrische Revolution),2021-09-06 00:00:00,50 bis 100,12
323.0,2021-10-16 00:00:00,14:00-17:00,Auzug/Domplatz,Walk for freedom - Demonstration gegen Menschenhandel,2021-09-08 00:00:00,100,30
324.0,2021-09-12 00:00:00,10:00-11:15,Westfriedhof,"Tag der Erinnerung, Mahnung und Begegnung",2021-09-07 00:00:00,20,k.A.
325.0,2021-09-16 00:00:00,08:00-10:00,vor dem Landtag,sofortige humatinäre Hilfe für Menschen in Afghanistan,2021-09-08 00:00:00,60,60
326.0,2021-09-19 00:00:00,13:00-19:00,Alter Markt,Friedenskundgebung für Transparenten Dialog,2021-09-09 00:00:00,500,200
327.0,2021-09-24 00:00:00,14:00:00,Aufzug/Kundgebungen17:00,Alles fürs Klima,2021-08-21 00:00:00,400,1800
328.0,2021-09-30 00:00:00,17:30-21:00,Autokorso,Autokorso für Demokratie,2021-09-12 00:00:00,200,60
329.0,2021-09-14 00:00:00,15:00-17:00,Breiter Weg/Mc Donalds,Projekt Bundestagswahl,2021-09-11 00:00:00,10,k.A.
330.0,2021-10-03 00:00:00,14:00-19:00,Aufzug,Gegen 31 Jahre Abbau Ost - für die soziale Revolution,2021-09-12 00:00:00,60,61
331.0,2021-09-24 00:00:00,17:00-21:00,Aufzuf/Kundgebungen,Raven for Future,2021-09-12 00:00:00,300,160
332.0,2021-09-17 00:00:00,14:45-18:00,Sternstraße 30a,Parking Day,2021-09-10 00:00:00,15,k.A.
333.0,2021-09-17 00:00:00,14:00-19:30,Sternstraße 8,Parking Day,2021-09-14 00:00:00,15,k.A.
334.0,2021-09-21 00:00:00,15:00-17:00,Breiter Weg/Mc Donalds,Bundestagswahl 2021,2021-09-15 00:00:00,10,k.A.
335.0,2021-09-21 00:00:00,11:00-17:00,Alter Markt,Die Basis in Bewegung,2021-09-17 00:00:00,10,k.A.
336.0,2021-09-25 00:00:00,15:30-17:30,"Fürstenwallstraße, am Denkmal",Recht auf Leben und Selbstbestimmung in Frieden,2021-09-19 00:00:00,70,25
337.0,2021-09-25 00:00:00,14:00-22:00,"Domplatz, Nordseite","Kundgebung Basis Partei, Die Basis in Bewegung",2021-09-20 00:00:00,300,165
338.0,2021-09-24 00:00:00,20:00-22:00,Klosterbergegarten,"Nachhaltige Zukunft der Kluturbanche, Klimastreik",2021-09-20 00:00:00,50,35
