Lfd. Nr. ,Datum der Vers,Uhrzeit der Vers,Ort der Vers,Thema der Versammlung,Datum der Anmeldung
72.0,2018-06-23 00:00:00,10.00-13.00,Aufzug,8. FahrRad-Aktionstag,2018-05-02 00:00:00
73.0,2018-05-12 00:00:00,10.00-18.00,Willy-Brandt-Platz,Welt-Falun-Dafa-Tag,2018-05-08 00:00:00
74.0,2018-05-11 00:00:00,17.00-19.00,Breiter Weg,Tierschutz,2018-05-09 00:00:00
75.0,2018-05-15 00:00:00,18.00-22.00,Aufzug,Freiheit für Ursula Haverbeck,2018-05-09 00:00:00
76.0,2018-06-14 00:00:00,11.00-12.00,Liebknechtstraße,Gedenkveranstaltung der Frauen des ehemaligen Frauen-KZ,2018-05-14 00:00:00
77.0,2018-05-24 00:00:00,12.00-16.00,Blumenstraße,Warnstreik,2018-05-17 00:00:00
78.0,2018-05-24 00:00:00,17.00-18.00,Domplatz,Entsorgung der Giftschlammgrube Brüchau,2018-05-20 00:00:00
79.0,2018-06-22 00:00:00,14.00-17.00,Breiter Weg,Situation in Afghanistan,2018-05-29 00:00:00
80.0,2018-06-15 00:00:00,17.00-18.00,Alter Markt,Kein Fussball-Märchen in Putin´s Russland!,2018-06-12 00:00:00
81.0,2018-06-19 00:00:00,14.00-18.00,Olvenstedter Platz,Nachhaltigkeit,2018-06-13 00:00:00
82.0,2018-06-19 00:00:00,09.30-11.00,Staatskanzlei,Beförderungen bei der Polizei,2018-06-18 00:00:00
83.0,2018-06-22 00:00:00,08.00-10.00,Domplatz,KiFöG-Forderungen der Eltern,2018-06-19 00:00:00
84.0,2018-06-23 00:00:00,08.30-14.30,Ernst-Reuter-Allee,Heimatliebe ist kein Verbrechen - Identitäre Zone,2018-06-20 00:00:00
85.0,2018-06-29 00:00:00,18.00-20.00,Breiter Weg,Gegen den Rechtskurs der Bundes- und Landesregierung und die menschenverachtende Flüchtlingspolitik,2018-06-21 00:00:00
86.0,2018-06-28 00:00:00,08.30-12.00,Lübecker Straße ,Warnstreik bei T-Systems,2018-06-26 00:00:00
87.0,2018-06-30 00:00:00,13.00-16.00,Breiter Weg,Tierschutz,2018-06-26 00:00:00
88.0,2018-08-16 00:00:00,16.00-17.00,Hektorweg,Gedenken an Rick L. / Opfer rechter Gewalt in Sachsen-Anhalt,2018-07-06 00:00:00
89.0,2018-07-12 00:00:00,09.30-13.00,Hohenstaufenring,Warnstreik bei der T-Systems,2018-07-06 00:00:00
90.0,2018-07-23 00:00:00,13.00-16.00,Breiter Weg,Frauen brechen Grenzen,2018-07-06 00:00:00
91.0,2018-07-13 00:00:00,14.00-19.00,Hasselbachplatz,"Kundgebung zur Unterstützung ziviler Seenotrettung, ""Seebrücken statt Massengrab""",2018-07-09 00:00:00
92.0,2018-07-30 00:00:00,11.00-15.00,Fahrradaufzug,Erdüberlastungstag am 01.08.2018,2018-07-18 00:00:00
93.0,2018-07-28 00:00:00,14.00-19.00,Breiter Weg,Solidarität mit und für Afrin,2018-07-26 00:00:00
94.0,2018-08-15 00:00:00,09.30-11.30,Domplatz,Schlechte Situation der Physiotherapie in Sachsen-Anhalt,2018-07-30 00:00:00
95.0,2018-08-02 00:00:00,16.00-18.00,Breiter Weg,Seenotrettung,2018-08-01 00:00:00
96.0,2018-08-04 00:00:00,14.00-19.00,Alter Markt,Tierschutz,2018-08-01 00:00:00
97.0,2018-08-04 00:00:00,16.00-18.00,Elbbalkon,Seenotrettung,2018-08-02 00:00:00
98.0,2018-08-07 00:00:00,14.00-18.00,Breiter Weg,Freiheit für Öcalan,2018-08-06 00:00:00
99.0,2018-08-08 00:00:00,14.00-18.00,Breiter Weg,Freiheit für Öcalan,2018-08-06 00:00:00
100.0,2018-08-09 00:00:00,14.00-18.00,Breiter Weg,Freiheit für Öcalan,2018-08-06 00:00:00
101.0,2018-08-10 00:00:00,14.00-18.00,Breiter Weg,Freiheit für Öcalan,2018-08-06 00:00:00
102.0,2018-08-11 00:00:00,14.00-18.00,Breiter Weg,Freiheit für Öcalan,2018-08-06 00:00:00
103.0,2018-09-29 00:00:00,17.30-22.30,Aufzug,"Kein vergeben, kein vergessen. In Gedanken an alle Opfer rassistischer Gewalt",2018-08-06 00:00:00
104.0,2018-08-11 00:00:00,10.00-17.00,Goldschmiedebrücke,Verfolgung von Falun-Dafa-Praktizierenden in China,2018-08-07 00:00:00
105.0,2018-09-01 00:00:00,11.00-13.00,Aufzug,Antikriegstag - Weltfriedenstag,2018-08-08 00:00:00
106.0,2018-09-01 00:00:00,16.00-20.00,Aufzug,Antikriegstag - Weltfriedenstag,2018-08-08 00:00:00
107.0,2018-08-13 00:00:00,18.30-19.30,Hasselbachplatz,"Montags-Musik am Hasselbachplatz - ""Mut zur Begegnung",2018-08-08 00:00:00
108.0,2018-08-20 00:00:00,18.30-19.30,Hasselbachplatz,"Montags-Musik am Hasselbachplatz - ""Mut zur Begegnung",2018-08-08 00:00:00
