Demonstrationen / Versammlungen / Aufzüge 2023,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Lfd Nr.,Datum der Veranstaltung,,Art,Thema,Versammlungsort,Erwartete TN
,,Uhrzeit,,,,
76,2023-02-15 00:00:00,18:00 - 19:00,Versammlung,Genug ist Genug' die Preise müssen runter,Gutenbergplatz,25
77,2023-03-25 00:00:00,12:00 - 18:00,Versammlung,Gegenkundgebung zu 'Deutschland steht auf' bzw. 'Wir sind die rote Linie',Ernst-Luwig-Platz,25
78,2023-05-01 00:00:00,10:30 - 12:45,Versammlung mit Aufzug,Hinaus zum 1. Mai - Internationales Mainzer 1. Mai Bündnis demonstriert zum Tag der Arbeit,Strecke,300
79,2023-03-05 00:00:00,13.00 - 15:00,Versammlung,Kundgebung gegen beschleunigten Autobahnausbau in Mainz,"Autobahn A 643, Höhe Kapelenstraße",50
80,2023-02-20 00:00:00,18:30 - 20:30,Versammlung mit Aufzug,64. MAINZER SCHILDERLAUF,Strecke,100
81,2023-02-15 00:00:00,17:00:00,Versammlung,Gedenkveranstaltung für die Opfer des Erdbebens in der Türkei und in Syrien ,Gedenkveranstaltung,200
82,2023-02-25 00:00:00,14:00 - 17:00,Versammlung mit Aufzug,Solidarität mit dem öffentlichen Dienst,Strecke,150
83,2023-03-11 00:00:00,12:00 - 17:00,Versammlung,Kundgebung zum feministischer Kampftag,Ernst-Ludwig-Platz,300
84,2023-02-17 00:00:00,17:30 - 18:30,Versammlung,Situation Aleviten im Erdbebengebiet,Römerpassage,30
85,2023-03-11 00:00:00,14:00 - 16:00,Versammlung,12.03. Fukushima,Gutenbergplatz o. Schillerplatz,50
86,2023-02-27 00:00:00,18:30 - 20:30,Aufzug,65. MAINZER SCHILDERLAUF,Strecke,100
87,2023-06-17 00:00:00,12:00 - 17:30,Versammlung mit Aufzug,Demonstration für die Schließung aller Schlachthäuser ,Strecke,150
88,2023-03-08 00:00:00,10:30 - 13:00,Versammlung mit Aufzug,Demonstration für den Sozial- und Erziehungsdienst im öffentlichen Dienst,Strecke,700
89,2023-07-29 00:00:00,14:00 - 16:30,Versammlung mit Aufzug,Christopher Street Day-Demonstration 2023 ,Strecke,2500
90,2023-02-25 00:00:00,,Versammlung,Erhalt der letzten Freizeitfläche auf dem Layenhof,,
91,2023-03-05 00:00:00,12:30 - 16:00,Versammlung mit Aufzug,"Demonstration gegen den beschleunigten Autobahnausbau, Moratorium des Bundesverkehrswegeplans, Mainzer Sand erhalten.","Autobahn A 643, Höhe Kapelenstraße",200
92,2023-03-06 00:00:00,12:30 - 16:00,Versammlung mit Aufzug,66. MAINZER SCHILDERLAUF,Strecke,100
93,2023-03-11 00:00:00,15:00 - 18:00,Versammlung,Für queere Gleichberechtigung,Athener Allee Gehwg gegenüber Hausnr. 6,30
94,2023-03-25 00:00:00,14:00 - 21:30,Versammlung,"Earth Hour 2023, Klimaschutz, Energiesparen",Adenauer-Ufer/Höhe Fischtorplatz ,50
95,2023-04-15 00:00:00,11:00 - 14:00,Versammlung,OMAS GEGEN RECHTS,Alte Universität ,8
96,2023-03-02 00:00:00,15:30 - 18:00,Versammlung,Mahnwache für ehrliche und freie Berichterstattung,SWR,5-15
97,2023-03-09 00:00:00,15:30 - 18:00,Versammlung,Mahnwache für ehrliche und freie Berichterstattung,SWR,5-15
98,2023-03-16 00:00:00,15:30 - 18:00,Versammlung,Mahnwache für ehrliche und freie Berichterstattung,SWR,5-15
99,2023-03-23 00:00:00,15:30 - 18:00,Versammlung,Mahnwache für ehrliche und freie Berichterstattung,SWR,5-15
100,2023-03-30 00:00:00,15:30 - 18:00,Versammlung,Mahnwache für ehrliche und freie Berichterstattung,SWR,5-15
101,2023-03-02 00:00:00,16:15 - 18:00,Versammlung,Mahnwache für ehrliche und freie Berichterstattung,ZDF,5-15
102,2023-03-09 00:00:00,16:15 - 18:00,Versammlung,Mahnwache für ehrliche und freie Berichterstattung,ZDF,5-15
103,2023-03-16 00:00:00,16:15 - 18:00,Versammlung,Mahnwache für ehrliche und freie Berichterstattung,ZDF,5-15
104,2023-03-23 00:00:00,16:15 - 18:00,Versammlung,Mahnwache für ehrliche und freie Berichterstattung,ZDF,5-15
105,2023-03-30 00:00:00,16:15 - 18:00,Versammlung,Mahnwache für ehrliche und freie Berichterstattung,ZDF,5-15
106,2023-03-02 00:00:00,15:30 - 16:15,Versammlung,Mahnwache für ehrliche und freie Berichterstattung,VRM,5-15
107,2023-03-09 00:00:00,15:30 - 16:15,Versammlung,Mahnwache für ehrliche und freie Berichterstattung,VRM,5-15
108,2023-03-16 00:00:00,15:30 - 16:15,Versammlung,Mahnwache für ehrliche und freie Berichterstattung,VRM,5-15
109,2023-03-23 00:00:00,15:30 - 16:15,Versammlung,Mahnwache für ehrliche und freie Berichterstattung,VRM,5-15
110,2023-03-30 00:00:00,15:30 - 16:15,Versammlung,Mahnwache für ehrliche und freie Berichterstattung,VRM,5-15
111,2023-03-13 00:00:00,18:30 - 20:30,Versammlung mit Aufzug,67. MAINZER SCHILDERLAUF,Strecke,100
112,2023-05-10 00:00:00,13:30 - 17:00,Versammlung mit Aufzug,Wahlalter ab 16,Strecke,500
113,2023-03-16 00:00:00,13:00 - 15:00,Versammlung,Erhöhung und Ruhegehaltsfähigkeit der Polizeizulage,Deutschhausplatz,50
114,2023-05-13 00:00:00,14:00 - 18:00,Versammlung,Demonstration für christliche Werte,Rebstockplatz,30
115,2023-07-22 00:00:00,11:00 - 15:00,Versammlung,Freiheit-Religion  ,,10
116,2023-03-25 00:00:00,14:00 - 18:00 ,Versammlung,kein Platz für Schwurbler,Schillerplatz/Osteiner Hof,30
117,2023-03-21 00:00:00,9.00 - 12.30,Versammlung mit Aufzug,Tarifstreit TVöD ,Strecke,600
