Demonstrationen / Versammlungen / Aufzüge 2020,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
Lfd Nr.,Datum der Veranstaltung,Art,Thema,Anmeldedatum,,Versammlungsort,Erwartete TN
,,,,,,,
158,2020-07-31 00:00:00,Versammlung,Fridays for Future,2020-07-20 00:00:00,,Gutenbergplatz,5
159,2020-08-02 00:00:00,Versammlung,"Menschenkette ""CSD""",2020-07-26 00:00:00,,"Schillerplatz, Lu, Gutenbergplatz, Markt, Liebfrauenplatz, Fischtorstraße",200
160,28.07.2020 - 06.08.2020,Dauerdemo,Mainzer Woche gegen Atomwaffen,2020-07-10 00:00:00,,"Bischofplatz, Markt",20
161,2020-08-15 00:00:00,Versammlung,Mahnwache Tierversuche,2020-07-28 00:00:00,,"Schillerplatz, Osteiner Hof",30
162,2020-07-31 00:00:00,Versammlung,"Massentierhaltung, Tierrechte, Tierethik, Umwelt, Klimawandel, Veganismus, Ernährung und Gesundheit",2020-07-09 00:00:00,,Bahnhofplatz,15
163,2020-08-01 00:00:00,Versammlung,"Massentierhaltung, Tierrechte, Tierethik, Umwelt, Klimawandel, Veganismus, Ernährung und Gesundheit",2020-07-09 00:00:00,,Gutenbergplatz,15
164,2020-08-07 00:00:00,Versammlung,Kundgebung gegen die Zementindustrie und ihre gesellschaftliche Auswirkungen,2020-07-16 00:00:00,,"Rheinufer, Schlosstor",100
165,2020-08-28 00:00:00,Versammlung,Kundgebung FFF,2020-07-22 00:00:00,,Gutenbergplatz,250
166,2020-08-08 00:00:00,Versammlung,Mahnwache Grundrechtseinschränkungen,2020-07-09 00:00:00,,Alte Universität,100
167,02.08.2020 und 09.08.2020,Versammlung,"""BLM""",2020-07-31 00:00:00,,Markt,50
168,2020-08-07 00:00:00,Versammlung,"Massentierhaltung, Tierrechte, Tierethik, Umwelt, Klimawandel, Veganismus, Ernährung und Gesundheit",2020-08-03 00:00:00,,Bahnhofplatz,15
169,2020-08-15 00:00:00,Versammlung,"Massentierhaltung, Tierrechte, Tierethik, Umwelt, Klimawandel, Veganismus, Ernährung und Gesundheit",2020-08-03 00:00:00,,Bahnhofplatz,15
170,2020-08-22 00:00:00,Versammlung,EU-Agrargipfel: Für eine zukunftsfähige EU-Agrarreform!,2020-08-06 00:00:00,,Alte Universität,50
171,2020-08-07 00:00:00,Aufzug,Sichtbarkeit von Radverkehr - während Covid19 und danach,2020-08-04 00:00:00,,Strecke,99
172,2020-08-15 00:00:00,Vesammlung,Kundgebung - Pressemitteilung,2020-08-11 00:00:00,,Gutenbergplatz,40
173,2020-09-26 00:00:00,Versammlung,Corona 2020 - Ende der Gewalt - Für Einigkeit & Recht & Freiheit,2020-08-13 00:00:00,,Rheinufer Schlosstor,1000
174,2020-09-05 00:00:00,Aufzug,BLM,2020-08-13 00:00:00,,Strecke,500
175,2020-09-04 00:00:00,Versammlung/Aufzug,Landesaufnahme Programm jetzt,2020-08-13 00:00:00,,Ernst-Ludwig-Platz/Strecke,400
176,2020-08-18 00:00:00,Versammlung,Project SOS - Demo gg. Menschenrechtsverletzung in Belarus und weltweit,2020-08-16 00:00:00,,Markt,40
177,2020-08-21 00:00:00,Versammlung,"Massentierhaltung, Tierrechte, Tierethik, Umwelt, Klimawandel, Veganismus, Ernährung und Gesundheit",2020-08-17 00:00:00,,Bahnhofplatz,15
178,2020-08-29 00:00:00,Versammlung,"Massentierhaltung, Tierrechte, Tierethik, Umwelt, Klimawandel, Veganismus, Ernährung und Gesundheit",2020-08-17 00:00:00,,Bahnhofplatz,15
179,2020-09-05 00:00:00,Versammlung,Maria 2.0,2020-08-17 00:00:00,,Markt,ca. 50 -100
