lfd. Nr. ,Datum,Ort,Angemeldete Teilnehmer:innen,Thema/Motto
175,2023-03-22 00:00:00,Klinikum Bremen-Mitte - Weserstadion,250,Warnstreik Tarifverhandlungen TVÖD
176,2023-03-22 00:00:00,Findorffmarkt,20,Positionierung gegen die Versammlungen und Märsche der AfD
177,2023-03-22 00:00:00,Findorffmarkt,60,Ganz Bremen hasst die AfD
178,2023-03-22 00:00:00,Findorffmarkt,50,"Frieden, Freiheit, Selbstbestimmung"
179,2023-03-23 00:00:00,Marktplatz,50,"Ausbildungsfonds, Sitzung in der Bürgerschaft"
180,2023-03-23 00:00:00,Marktplatz,50,Gewaltsamer tod von 5 kurdischen Menschen in Afrin
181,2023-03-23 00:00:00,Marktplatz,20,"Mahnwache für Frieden, Versöhnung und Abrüstung"
182,2023-03-24 00:00:00,Angarikirchhof,50,Kundgebung zu der Tarifrunde das Handwerk gGmbH
183,2023-03-24 00:00:00,Marktplatz,10,Krieg in der Ukraine
184,2023-03-24 00:00:00,Gerhard-Rohlfs-Straße,30,1.055. Friedenskundgebung
185,2023-03-25 00:00:00,Ulrichsplatz,6,Menschenrechtsverletzungen weltweit
186,2023-03-25 00:00:00,Gehwegfläche vor den Domtreppen,12,Mahnwache für einen gerechten Frieden in Palästina
187,2023-03-27 00:00:00,"Flughafenallee - Leibnizplatzpark 
Bahnhofsvorplatz - Leibnizplatzpark",1800,Zusammen geht mehr - Tarifverhandlungen im Verkehrsbereich
188,2023-03-28 00:00:00,Gerhard-Rohlfs-Straße / Ecke Sedanplatz,4,Friedensmahnwache
189,2023-03-29 00:00:00,Findorffmarkt,20,Positionierung gegen die Versammlungen und Märsche der AfD
190,2023-03-29 00:00:00,Findorffmarkt,60,Ganz Bremen hasst die AfD
191,2023-03-29 00:00:00,Findorffmarkt,50,"Frieden, Freiheit, Selbstbestimmung"
192,2023-03-30 00:00:00,Marktplatz,20,"Mahnwache für Frieden, Versöhnung und Abrüstung"
193,2023-03-31 00:00:00,Gerhard-Rohlfs-Straße,30,1.056. Friedenskundgebung
194,2023-03-31 00:00:00,Marktplatz - SPD-Landesgeschäftsstelle,150,Aufweichung des Klimaschutzgesetzes
195,2023-04-01 00:00:00,Pappelstraße,20,Positionen der MLPD zur Bürgerschaftswahl
196,2023-04-01 00:00:00,Grasmarkt,20,"Wir STEHEN FÜR eine demokratische, rechtsstaatliche und offene Gesellschaft, Respekt und Achtung gegenüber allen Menschen und den Erhalt der Grund- und Menschenrechte"
197,2023-04-01 00:00:00,Herolden am Bremer Rathaus,8,Enthüllung mobiler Wesselmann
198,2023-04-01 00:00:00,Sögestraße bei den Schweinen,15,Tierrechte
199,2023-04-01 00:00:00,"Domsheide zwischen Konzerthaus ""Die Glocke"" und Landgericht",20,Gegen Menschenrechtsverletzung im Iran
200,2023-04-01 00:00:00,Autokorso ausgehend vom Findorffmarkt (Zwischenkundgebung bei Radio Bremen),40,"Grund- und Menschenrechte, Kriegspolitik, US-amerikanische Fremdherschafft, Frieden mit Russland, Energiewende, Aufhebung aller Coronamaßnahmen und Impfzwänge und Aufarbeitung des Corona-Skandals"
201,2023-04-01 00:00:00,Findorffmarkt,100,Ganz Bremen hasst die AfD
202,2023-04-03 00:00:00,Marktplatz,20,Probleme und Widersprüche in der Politik der Bundes- und Länderregierungen
203,2023-04-04 00:00:00,Gerhard-Rohlfs-Straße / Ecke Sedanplatz,4,Friedensmahnwache
204,2023-04-04 00:00:00,EA Lindenstraße,25,Zurück zum Existenzminimum - It's your right!
205,2023-04-05 00:00:00,Findorffmarkt,20,Positionierung gegen die Versammlungen und Märsche der AfD
206,2023-04-05 00:00:00,Findorffmarkt,90,Ganz Bremen hasst die AfD
207,2023-04-05 00:00:00,"Wendeschleife bei Haltestelle ""Weserwehr""",50,"Frieden, Freiheit, Selbstbestimmung"
208,2023-04-05 00:00:00,Präsident-Kennedy-Platz,50,Gedenkkundgebung für NSU-Opfer
209,2023-04-06 00:00:00,Marktplatz,30,"Mahnwache für den Frieden, Versöhnung und Abrüstung"
210,2023-04-07 00:00:00,Gerhard-Rohlfs-Straße,30,1.057. Friedenskundgebung
211,2023-04-08 00:00:00,Friedenstunnel (Auftaktkundgebung)– An der Weide – Herdentor steinweg – Sögestraße – Schüsselkorb – Violenstraße – Domsheide –Marktplatz (Abschlusskundgebung),550,Ostermarsch 2023
212,2023-04-08 00:00:00,Sögestraße bei den Schweinen,20,"Wählst du nicht, verschwinde ich. Deine Demokratie."
213,2023-04-08 00:00:00,Vor den Domtreppen,50,"Meinen Frieden gebe ich euch, meinen Frieden lasse ich euch"
214,2023-04-08 00:00:00,Marktplatz,50,Mahnwache Solidarität mit den Protesierenden im Iran
215,2023-04-08 00:00:00,Vor den Domtreppen,20,Verkündung von Hoffnung und Frieden
216,2023-04-08 00:00:00,Ansgarikirchhof,20,Gegen Menschenrechtsverletzung im Iran
217,2023-04-11 00:00:00,Gerhard-Rohlfs-Straße / Ecke Sedanplatz,4,Friedensmahnwache
218,2023-04-11 00:00:00,Fläche zwischen dem Inter city Hotel und dem Hauptbahnhof,10,Sicherheit am Hauptbahnhof
219,2023-04-12 00:00:00,"Wendekreis an der Haltestelle ""Weserwehr""",50,"Frieden, Freiheit, Selbstbestimmung"
220,2023-04-12 00:00:00,Findorffmarkt,20,Positionierung gegen die Versammlungen und Märsche der AfD
221,2023-04-13 00:00:00,Marktplatz,30,"Mahnwache für den Frieden, Versöhnung und Abrüstung"
222,2023-04-14 00:00:00,Hermann-Koenen-Straße vor Tor 9 (28309 Bremen,100,Position der MLPD im Bürgerschaftswahlkampf
223,2023-04-14 00:00:00,Lahnstraße / Delmestraße,20,Verkehrssituation in der Lahnstraße
224,2023-04-14 00:00:00,Gerhard-Rohlfs-Straße,30,1.058. Friedenskundgebung
225,2023-04-14 00:00:00,"Bahnhofsplatz 29, 28195",10,Selbstbestimmung Jetzt
226,2023-04-15 00:00:00,Ulrichsplatz,6,Aktuelle Menschenrechtsverletzungen
227,2023-04-15 00:00:00,Vor den Domtreppen,12,Gerechter Frieden im Nahen Osten
228,2023-04-15 00:00:00,Fäche vor Kapitel 8,15,"Wählst du nicht, verschwinde ich. Deine Demokratie."
229,2023-04-15 00:00:00,Marktplatz,50,Atomausstieg
230,2023-04-15 00:00:00,Marktplatz,25,Bildungsmissstände und fehlende Aufstiegschancen von jungen Menschen in Bremen
231,2023-04-15 00:00:00,Ansgarikirchhof,20,Gegen Menschenrechtsverletzung im Iran
232,2023-04-15 00:00:00,Marktplatz,40,Christliche und unpolitische Botschaften
233,2023-04-17 00:00:00,Bahnhofsvorplatz - Überseestadt - Domshof,60,La Via Campensina Tag
234,2023-04-18 00:00:00,Gehwegfläche vor dem Haus: Konrad Adenauer Allee 42,50,Warnstreik IKK Tarifverhandlungen
235,2023-04-18 00:00:00,Gerhard-Rohlfs-Straße / Ecke Sedanplatz,4,Friedensmahnwache
236,2023-04-18 00:00:00,Geschäftssitz von Mondelez (Konsul-Smidt-Straße),250,Bewegte Mittagspause bei Mondelez
237,2023-04-18 00:00:00,Marktplatz - Oberschule am Barkhof,50,"Erinnern, Versöhnen, ein Zeichen für jüdisches Leben und Israel"
238,2023-04-18 00:00:00,Bürgerweide - Domshof,250,Städte für Menschen
239,2023-04-19 00:00:00,"Wendekreis an der Haltestelle ""Weserwehr""",50,"Frieden, Freiheit, Selbstbestimmung"
