Datum,Uhrzeit,Thema,Standort/Strecke,Personenzahl
29.04.,16.00-17.30,"Gegen die Einschnitte bei der kommunalen Demokratie in SH: Keine Einschränkung bei Bürgerbegehren und Bürgerentscheiden, keine Erhöhung der Mindestgröße für Fraktionen",Aufzug/Rathausplatz,50-100
29.04.,11.00-17.00,Verfolgung von Falun Dalfa und die Verbrechen der KP Chinas,Schevenbrücke,3-5
29.04.,15.00-17.30,Politik führt uns in die Armut,Aufzug/Exerzierplatz,30
30.04.,16.00-17.30,Schutz der Meere,Aufzug/Stresemannplatz,100 (?)
30.04.,17.30-20.00,Wir kämpfen gemeinsam - Heraus zum 1. Mai!,Aufzug Vinetaplatz,300
01.05.,15.00-17.30,Politik führt uns in die Armut,Aufzug/Exerzierplatz,30
01.05.,09.15-13.30,Tag der Arbeit,Aufzug/Legienstraße > Rathausplatz,1.500-2.000
04.05.,16.00-18.00,Ein Zeichen für Ehrlichkeit und Unabhängikeit in den Medien (ARD-Mahnwache),NDR-Landesfunkhaus                   Schlossplatz,20
04.05.,16.00-18.00,Ein Zeichen für Ehrlichkeit und Unabhängikeit in den Medien (ARD-Mahnwache),NDR-Landesfunkhaus                   Wall-Brücke,20
05.05.,16.00-19.00,Kommunalwahlen müssen Klimawahlen sein,Asmus Bremer-Platz,20
06.05.,12.00-22.00,Autofreie Rotation,Medusastraße,100
06.05.,15.00-17.30,Politik führt uns in die Armut,Aufzug/Exerzierplatz,30
06.05.,12.00-15.00,Abschaffung der Massentierhaltung,Berliner Platz/Holstenstraße,15
07.05.,10.00-19.00,Malen eines Kreidebilds zur Kommunalwahl,Vinetaplatz,20
07.05.,15.00-16.30,Gegen Femizide,Kielinie/Reventlouwiese (Sektoren B5/6),50
08.05.,18.00-19.30,Politik führt uns in die Armut,Aufzug/Exerzierplatz,20
09.05.,17.00-20.00,"Umnutzung von Parkflächen, urbaner Raum, Mobilität, Flächenverbrauch, Vernetzung der Kielerinnen und Kieler",Blücherplatz,ca. 20
11.05.,16.00-18.00,Ein Zeichen für Ehrlichkeit und Unabhängikeit in den Medien (ARD-Mahnwache),NDR-Landesfunkhaus                    Wall-Brücke,20
11.05.,16.00-18.00,Ein Zeichen für Ehrlichkeit und Unabhängikeit in den Medien (ARD-Mahnwache),NDR-Landesfunkhaus                   Schlossplatz,20
12.05.,16.00-19.00,Parking Day,Exerzierplatz,40
12.05.,14.00-22.00,"Abschlusskundgebung ""die Basis"" zur Kommunalwahl",Schevenbrücke,
12.05.,16.00-18.35,Protestmarsch Letzte Generation,CAU,30
13.05.,14.00-17.00,Sichtbarkeit schaffen für Queerfeindlichkeit,Blücherplatz,50
13.05.,17.50-22.45,"Autofreie Innenstädte, autofreies Fahren",Bergstraße,100
13.05.,14.45-18.00,Frieden und Musik,Kiellinie,> 5 
13.05.,15.00-17.40,Politik führt uns in die Armut,Aufzug/Exerzierplatz,30
14.05.,12.00-14.00,Dragwalk anlässlich des IDAHOBIT am 17.05.,Aufzug/Platz der Kieler Matrosen,100
15.05.,18.00-19.45,Politik führt uns in die Armut,Aufzug/Exerzierplatz,25
18.05.,16.00-18.00,Ein Zeichen für Ehrlichkeit und Unabhängikeit in den Medien (ARD-Mahnwache),NDR-Landesfunkhaus                    Wall-Brücke,20
18.05.,16.00-18.00,Ein Zeichen für Ehrlichkeit und Unabhängikeit in den Medien (ARD-Mahnwache),NDR-Landesfunkhaus                   Schlossplatz,20
20.05.,15.00-17.45,Diplomatie statt Waffen,Aufzug/Exerzierplatz,40
20.05.,15.00-17.00,Solidarität mit der Revolution im Irak,Asmus Bremer-Platz,150
22.05.,18.00-19.30,Politik führt uns in die Armut,Aufzug/Exerzierplatz,20
24.05.,11.00-14.00,Streik anlässlich Tarifrunden Groß- und Einzelhandel (SH und MV) sowie Einzelhandel (SH),Aufzug/Platz der Kieler Matrosen,500
25.05.,16.00-18.00,Ein Zeichen für Ehrlichkeit und Unabhängikeit in den Medien (ARD-Mahnwache),NDR-Landesfunkhaus                    Wall-Brücke,20
25.05.,16.00-18.00,Ein Zeichen für Ehrlichkeit und Unabhängikeit in den Medien (ARD-Mahnwache),NDR-Landesfunkhaus                   Schlossplatz,20
27.05.,15.00-17.30,Politik führt uns in die Armut,Aufzug/Exerzierplatz,20
29.05.,18.00-19.45,Politik führt uns in die Armut,Aufzug/Exerzierplatz,20
29.05.,12.30-15.30,koloniale Kontinuitäten in Bezug auf den Container Fernverkehr,Strand Mönkeberg (Kreis Plön)/Fördeüberquerung,23-30
29.05.,13.00-16.00,Umweltzerstörung und Waldrodung,Aufzug/Kiellinie Höhe Sporthafen Seeburg,70
31.05.,16.00-18.00,Gegen staatliche Repressionen - Solidarität mit der letzten Generation,Aufzug/Audimax,100
01.06.,08.00-11.00,"Milchbauern baden aus, was die Politik versäumt hat",vor dem Landtag,20-30
01.06.,16.00-18.00,Ein Zeichen für Ehrlichkeit und Unabhängikeit in den Medien (ARD-Mahnwache),NDR-Landesfunkhaus                   Wall-Brücke,20
01.06.,16.00-18.00,Ein Zeichen für Ehrlichkeit und Unabhängikeit in den Medien (ARD-Mahnwache),NDR-Landesfunkhaus                   Schlossplatz,20
02.06.,13.00-13.30,Warnstreik bei Wulff Textil Service,Bunsenstraße 27,50
03.06.,15.00-17.30,Politik führt uns in die Armut,Aufzug/Exerzierplatz,20
05.06.,15.00-17.30,Politik führt uns in die Armut,Aufzug/Exerzierplatz,20
08.06.,16.00-18.00,Ein Zeichen für Ehrlichkeit und Unabhängikeit in den Medien (ARD-Mahnwache),NDR-Landesfunkhaus                   Wall-Brücke,20
08.06.,16.00-18.00,Ein Zeichen für Ehrlichkeit und Unabhängikeit in den Medien (ARD-Mahnwache),NDR-Landesfunkhaus                   Schlossplatz,20
08.06.,08.00-18.00,ParkingDay 2023 CAU,Olshausenstr. 40,80
08.06.,15.15-16.30,Lohnerhöhungen beim AWO-KV Kiel ,Aufzug/Gewrkschaftshaus,150
08.06.,18.00-19.30,Gegen den Asylkompromiss 2.0,Holstenstraße zw. Europaplatz und Asmus-Bremer-Platz,50
10.06.,15.00-17.30,Flaschenpfand ist keine Rente,Aufzug/Exerzierplatz,30
11.06.,17.00-18.30,GEAS Reform,Aufzug Europaplatz,200
12.06.,18.00-19.30,Politik führt uns in die Armut,Aufzug/Exerzierplatz,20
15.06.,16.00-18.00,Ein Zeichen für Ehrlichkeit und Unabhängikeit in den Medien (ARD-Mahnwache),NDR-Landesfunkhaus                   Wall-Brücke,20
15.06.,16.00-18.00,Ein Zeichen für Ehrlichkeit und Unabhängikeit in den Medien (ARD-Mahnwache),NDR-Landesfunkhaus                   Schlossplatz,20
16.06.,15.00-20.00,"Umnutzung von Parkflächen, urbaner Raum, Mobilität, Flächenverbrauch, Vernetzung der Kielerinnen und Kieler",Aufzug/St.Nikolai,20
17.06.,15.00-17.30,Flaschenpfand ist keine Rente,Aufzug/Exerzierplatz,25
17.06.,16.00-21.00,"Umnutzung von Parkflächen, Bevorzugung des Autoverkehrs",Weißenburgstraße 22/Ecke Metzstraße,3/ca. 20
19.06.,18.00-19.30,Diplomatie statt Waffen,Aufzug/Exerzierplatz,20
20.06.,17.00-19.00,European Border Action - Menschenrechtsverletzungen an Europas Außengrenzen,Aufzug/Schloßgarten,100
21.06.,9.00-18.00,Mahnwache gegen den Krieg/Frieden schaffen ohne Waffen,Kiellinie/BW-Truck,10
22.06.,16.00-18.00,Ein Zeichen für Ehrlichkeit und Unabhängikeit in den Medien (ARD-Mahnwache),NDR-Landesfunkhaus                   Wall-Brücke,20
22.06.,16.00-18.00,Ein Zeichen für Ehrlichkeit und Unabhängikeit in den Medien (ARD-Mahnwache),NDR-Landesfunkhaus                   Schlossplatz,20
24.06.,10.00-18.00,Botschaft der Bibel im Bezug auf unser Grundgesetz zur Bewahrung der Grundwerte,Schevenbrücke,15
24.06.,9.00-18.00,Mahnwache gegen den Krieg/Frieden schaffen ohne Waffen,Kiellinie/BW-Truck,10
24.06.,11.00-17.00,Verfolgung von Falun Dalfa und die Verbrechen der KP Chinas,Schevenbrücke,3 - 5 
