Datum,Ort,Art,ang. TN-Zahl
2022-03-26 00:00:00,Platz der Deutschen Einheit,Stationär,10
2022-03-26 00:00:00,Hörder Bachsr./Phönixsee,Stationär,10
2022-03-26 00:00:00,Reinoldikirchplatz,Stationär,35
2022-03-28 00:00:00,Kleppingstraße/Ostenhellweg,Stationär,40
2022-03-28 00:00:00,Lünen Parkplatz Hilpert-Theater - Willy-Brandt-Platz,Aufzug,6 - 50
2022-03-28 00:00:00,Friedensplatz - Schützenstraße - Friedensplatz,Aufzug,749
2022-03-28 00:00:00, Eving ggü Bergstraße,Stationär,80 - 90
2022-03-28 00:00:00,U-Bahn Haltestelle Kampstraße,Stationär,50
2022-03-28 00:00:00,Willy-Brandt-Platz (Lünen) - Cappenberger Straße - Willy-Brandt-Platz (Lünen),Aufzug,100
2022-03-28 00:00:00,Nordmarkt,Stationär,100
2022-03-30 00:00:00,Reinoldikirche,Stationär,10 - 20
2022-03-30 00:00:00,RKP,Stationär,20
2022-03-30 00:00:00,Park der Partnerstädte - Nordstadt - Park der Partnerstädte,Aufzug,2000
2022-04-01 00:00:00,Platz von Netanya,Stationär,50
2022-04-02 00:00:00,Park der Partnerstädte - U-Turm,Stationär,15
2022-04-02 00:00:00,Friedensplatz,Stationär,40 - 250
2022-04-02 00:00:00,Möllerbrücke/ Ecke Hollestraße,Stationär,5
2022-04-02 00:00:00,Reinoldikirchplatz,Stationär,5
2022-04-02 00:00:00,Platz von Buffalo - Kampstraße - Platz von Netanya - Platz von Buffalo,Aufzug,60 - 80
2022-04-03 00:00:00,Hansemannpark,Stationär,150 - 200
2022-04-04 00:00:00,Nordstadt,Aufzug,200
2022-04-04 00:00:00,Kleppingstraße/Ostenhellweg,Stationär,40
2022-04-04 00:00:00,Friedensplatz - Innenstadt - Friedensplatz,Aufzug,300
2022-04-04 00:00:00,Platz der Alten Synagoge - Westenhellweg,Aufzug,15
2022-04-04 00:00:00,Lünen ,Aufzug,6 - 50
2022-04-04 00:00:00,Deutsche Straße 4-6,Stationär,80
2022-04-05 00:00:00,Willy-Brandt-Platz Lünen,Stationär,500
2022-04-06 00:00:00,Reinoldikirche,Stationär,10 - 20
2022-04-06 00:00:00,RKP,Stationär,30
2022-04-06 00:00:00,Huckarder Marktplatz - Walkmühlenweg - Huckarder Marktplatz,Aufzug,30-50
2022-04-08 00:00:00,Arneckestr. 45 - 49,Stationär,15
2022-04-08 00:00:00,Platz der Deutschen Einheit,Stationär,5 -10
2022-04-09 00:00:00,Platz der Deutschen Einheit,Stationär,10
2022-04-09 00:00:00,Cinestar - Freiherr-vom-Stein-Platz - Friedensplatz,Aufzug,200
2022-04-09 00:00:00,RKP,Stationär,5 - 10
2022-04-09 00:00:00,Reinoldikirche,Stationär,4-8
2022-04-09 00:00:00,Platz der Deutschen Einheit,Stationär,3
2022-04-09 00:00:00,Platz von Buffalo - Westenhellweg - DSW21-Kundencenter,Aufzug,60 - 80
2022-04-11 00:00:00,Kleppingstraße/Ostenhellweg,Stationär,40
2022-04-11 00:00:00,Witten - Dortmund,Aufzug,50
2022-04-11 00:00:00,Friedensplatz - Mallinckrodtstraße - Friedensplatz,Aufzug,200
2022-04-11 00:00:00,Willy-Brandt-Platz (Lünen) - Kurt-Schuhmacher-Straße - Willy-Brandt-Platz (Lünen),Aufzug,50-100
2022-04-11 00:00:00,Deutsche Straße 4-6 ,Stationär,50
2022-04-13 00:00:00,Reinoldikirche,Stationär,10 - 20
2022-04-13 00:00:00,Reinoldikirche,Stationär,20
2022-04-14 00:00:00,Ostenhellweg 32-34,Stationär,8-15
2022-04-15 00:00:00,Bittermark,Stationär,20
16 - 18.04.2022,DU/E/BO/GE; Do: Wilhelmplatz - Rheinische Str. - City- Hansaplatz,Aufzug,700
2022-04-16 00:00:00,Platz der Deutschen Einheit,Stationär,10
2022-04-16 00:00:00,Platz der Deutschen Einheit,Stationär,3
2022-04-16 00:00:00,Katharinenstraße,Stationär,6 - 9
2022-04-19 00:00:00,Westenhellweg,Stationär,6-12
2022-04-20 00:00:00,Huckarder Marktplatz Rundgang,Aufzug,30 - 50 
2022-04-21 00:00:00,Mehmet-Kubasik-Platz ,Stationär,40
2022-04-22 00:00:00,Westpark,Stationär,50
2022-04-22 00:00:00,Münsterstraße,Stationär,150
2022-04-22 00:00:00,"Hermannstraße, Hörde",Stationär,3 - 6
2022-04-23 00:00:00,Phoenixsee,Stationär,100
2022-04-23 00:00:00,Blücherstraße,Stationär,40 - 50
2022-04-23 00:00:00,Reinoldikirchplatz Nr. 3,Stationär,5 - 10 
2022-04-23 00:00:00,Platz der Deutschen Einheit - Friedensplatz,Stationär,300 - 400 
2022-04-23 00:00:00,Platz der Deutschen Einheit,Stationär,3
2022-04-24 00:00:00,Landgrafenstraße,Stationär,80
2022-04-24 00:00:00,Stahlwerkstraße,Stationär,40
