Datum,Ort,Art,ang. TN-Zahl,Thema
2023-03-09 00:00:00,"Dorneystraße 46a, Witten",Stationär,50,"Gedenkkundgebung zur Erinnerung an den ""Porjamos"" zur NS-Zeit am Sportplatz Dorney-Wald"
2023-03-09 00:00:00,Beurhausstraße/Münsterstraße - Platz der Alten Synagoge,Aufzug,600,Tarifrunde öffentlicher Dienst (TVöD Bund/VKA) 
2023-03-09 00:00:00,Am Knappschaftskrankenhaus 1,Stationär,50 - 100,Tarifrunde öffentlicher Dienst (TVöD Bund/VKA) 
2023-03-09 00:00:00,Katharinenstraße 14,Stationär,200,Warnstreik im Rahmen der Tarifverhandlungen für den öffentlichen Dienst
2023-03-09 00:00:00,Olpe 1 ,Stationär,25,Mahnwache Abdullohi S.
2023-03-10 00:00:00,"Ecke Kampstraße/ Katharinenstraße (Katharinenstraße SP 1+2, DSW21-Vorplatz)",Stationär,500 - 700,Streikkundgebung der Sparkassen
2023-03-11 00:00:00,Ecke Herrmannstraße/ Hörder Rathausstraße,Stationär,4 - 5,Internationaler Frauentag und Kommunalpolitik
2023-03-11 00:00:00,Platz der Deutschen Einheit,Stationär,10,"Gott und die Nation, Ströme der Heilung Karneval"
2023-03-13 00:00:00,Kleppingstraße,Stationär,40,"Hartz IV, Sozial- und Regierungspolitik, Flüchtlingsfrage, Internationale Solidarität, Corona Pandemie, Für den Weltfrieden"
2023-03-13 00:00:00,Friedensplatz,Stationär,850,"Friedensaktion ""Stop war - Send a message"". Aus Anlass des Kriegsbeginns vor einem Jahr"
2023-03-13 00:00:00,"Ecke Lange Straße/ Bäckerstraße, Lünen",Stationär,25 - 35,"Schluss mit den Zensurgesetzen, zurück zur Volkssouveränität!"
2023-03-14 00:00:00,Beurhausstraße 40,Stationär,250,Tarifrunde öffentlicher Dienst (TVöD Bund/VKA) 
2023-03-15 00:00:00,Vorplatz DSW21-Kundencenter,Stationär,20,Gegen Militarisierung und Krieg
2023-03-15 00:00:00,Burgwall 20,Stationär,50,Tarifforderungen für die IKK-Beschäftigten
2023-03-15 00:00:00,Beurhausstraße - Platz der Alten Synagoge,Aufzug,500,"Gesundheit ist Gold wert, ihr seid es auch"
2023-03-16 00:00:00,Westfalenhallen,Stationär,50,Die Zukunft des Wohnens geht ohne Vonovia
2023-03-16 00:00:00,Günter-Samtlebe-Platz - Platz der Deutschen Einheit,Aufzug,250,Tarifrunde öffenlicher Dienst (TVÖD Bund VKA)
2023-03-16 00:00:00,Platz der Deutschen Einheit - Friedensplatz,Aufzug,250,Tarifrunde öffenlicher Dienst (TVÖD Bund VKA)
2023-03-16 00:00:00,Friedensplatz,Stationär,3300,Tarifrunde öffenlicher Dienst (TVÖD Bund VKA)
2023-03-16 00:00:00,Reinoldikirche Standplatz Nr. 4,Stationär,50,Mahnwache zum Gedenken an Bekenntnissynode DO 16.3.1934
2023-03-16 00:00:00,Katharinenstraße 9,Stationär,250,Warnstreik im Rahmen der Tarifverhandlungen für den öffentlichen Dienst
2023-03-17 00:00:00,Friedensplatz - Dortmunder U,Aufzug,100,Equal-Pay-Day 2ß23 (Tag für gleiche Bezahlung)
2023-03-18 00:00:00,Reinoldikirche,Stationär,10,"Glaube, Liebe, Hoffnung in Krisenzeiten"
2023-03-18 00:00:00,Vorplatz DSW21-Kundencenter,Stationär,20,Gotteswort: Ströme zur Heilung für die Nation
2023-03-18 00:00:00,Platz der Deutschen Einheit,Stationär,200,Der Jahrestag der syrischen Revolution
2023-03-18 00:00:00,Reinoldikirche SP 3,Stationär,10,"Gegen Angeln, Fischsterben"
2023-03-18 00:00:00,Friedensplatz,Stationär,200,Stand with Ukraine #ShevchenkoWins
2023-03-19 00:00:00,Hansaplatz (Rundweg),Aufzug,1000,NRW erwacht für Freiheit und Selbstbestimmung
2023-03-20 00:00:00,Kleppingstraße,Stationär,40,"Hartz IV, Sozial- und Regierungspolitik, Flüchtlingsfrage, Internationale Solidarität, Corona Pandemie, Für den Weltfrieden"
2023-03-20 00:00:00,Platz von Xi'an - Bornstraße ,Aufzug,100 - 150,ES LEBE NEWROZ!
2023-03-20 00:00:00,"Ecke Lange Straße/Bäckerstraße, Lünen",Stationär,15 - 30,Schluss mit dem Parteiensystem und zurück zur Volkssouveränität
2023-03-22 00:00:00,Vorplatz DSW21-Kundencenter,Stationär,20,Gegen Militarisierung und Krieg
2023-03-22 00:00:00,Huckarder Marktplatz (Rundweg),Aufzug,40,Keine Waffen in Kriegsgebeite! Gemeinsam für den Frieden und ein bezahlbares Leben! Info!
2023-03-25 00:00:00,Körner Hellweg 142,Stationär,15,Rosenkranzgebet gegen Abtreibung
2023-03-25 00:00:00,Reindoldikirche Standplatz Nr. 5,Stationär,6 - 10,Die Verfolgung der Falun Dafa in China
2023-03-25 00:00:00,Körner Hellweg 142,Stationär,25,Kundgebung gegen die Abtreibungsgegner
2023-03-25 00:00:00,"Reinoldikriche, Standplatz Nr.3",Stationär,5,"Deutschland braucht die Bibel' - Für die Wiedereinführung christlicher Werte in Familie, Schule, Politik und das persönliche Leben"
2023-03-26 00:00:00,Heinrich-Schmitz-Platz,Stationär,30,Die Preise müssen runter!
2023-03-26 00:00:00,Katharinenstraße ,Stationär,10,1 Jahr nach der Auslieferung vom algerischen politischen Aktivisten Mohamed Benhalima von Spanien nach Algerien. Er ist in Lebensgefahr
