Datum,Ort,Art
2019-08-02 00:00:00,Platz der Deutschen Einheit,Stationär
2019-08-02 00:00:00,Kampstr. 46,Stationär
2019-08-02 00:00:00,Freistuhl 7,Stationär
2019-08-02 00:00:00,Friedensplatz,Stationär
2019-08-02 00:00:00,Freistuhl 2,Stationär
2019-08-02 00:00:00,Betenstraße,Stationär
2019-08-02 00:00:00,Westenhellweg 102 - 106,Stationär
2019-08-02 00:00:00,Westenhellweg 11 - 13,Stationär
2019-08-02 00:00:00,Westenhellweg 30 - 36,Stationär
2019-08-02 00:00:00,Westenhellweg 37 - 41,Stationär
2019-08-02 00:00:00,Westenhellweg 65,Stationär
2019-08-02 00:00:00,Westenhellweg 70 - 84,Stationär
2019-08-02 00:00:00,Kuhstr. 12,Stationär
2019-08-02 00:00:00,Südwall 37 - 41,Stationär
2019-08-03 00:00:00,Kampstraße DSW21Center,Stationär
2019-08-03 00:00:00,Westenhellweg Petrikirche,Stationär
2019-08-03 00:00:00,Kleppingstr./Ostenhellweg,Stationär
2019-08-03 00:00:00,Kleppingstr./Ostenhellweg,Stationär
2019-08-05 00:00:00,Europabrunnen,Stationär
2019-08-06 00:00:00,Platz von Hiroshima - Friedensplatz,Aufzug
2019-08-06 00:00:00,Platz von Netanya,Stationär
2019-08-06 00:00:00,Kampstraße DSW21Center,Stationär
2019-08-09 00:00:00,Platz von Netanya,Stationär
2019-08-09 00:00:00,Hoeschpark - Hoeschpark,Aufzug
2019-08-09 00:00:00,Friedensplatz,Stationär
2019-08-09 00:00:00,Platz von Leeds,Stationär
2019-08-10 00:00:00,Platz von Netanya,Stationär
2019-08-10 00:00:00,Balkenstr. - Westpark,Aufzug
2019-08-10 00:00:00,Friedensplatz,Stationär
2019-08-10 00:00:00,Platz der Deutschen Einheit,Stationär
2019-08-11 00:00:00,Greveler Str. 168,Stationär
2019-08-11 00:00:00,Kattenstert 20,Stationär
2019-08-12 00:00:00,Europabrunnen,Stationär
2019-08-12 00:00:00,Platz von Netanya,Stationär
2019-08-13 00:00:00,Platz von Netanya,Stationär
2019-08-13 00:00:00,Platz der Deutschen Einheit,Stationär
2019-08-14 00:00:00,Platz von Netanya,Stationär
2019-08-16 00:00:00,Friedensplatz,Stationär
2019-08-17 00:00:00,Friedensplatz,Stationär
2019-08-17 00:00:00,Kleppingstr./Ostenhellweg,Stationär
2019-08-17 00:00:00,Petrikirche Westenhellweg,Stationär
2019-08-19 00:00:00,Europabrunnen,Stationär
2019-08-19 00:00:00,Reinoldikirchplatz,Stationär
2019-08-22 00:00:00,Platz der Deutschen Einheit,Stationär
2019-08-23 00:00:00,Katharinenstraße,Stationär
2019-08-23 00:00:00,Katharinenstraße,Stationär
2019-08-23 00:00:00,Katharinenstraße,Stationär
2019-08-23 00:00:00,Cinestar Vorplatz,Stationär
2019-08-24 00:00:00,Evinger Straße,Stationär
2019-08-24 00:00:00,Hombruch Hartkort/Domänen,Stationär
2019-08-24 00:00:00,Lünen ,Aufzug
2019-08-24 00:00:00,Katharinenstraße,Stationär
2019-08-26 00:00:00,Europabrunnen,Stationär
2019-08-27 00:00:00,Platz von Netanya,Stationär
2019-08-27 00:00:00,Friedensplatz,Stationär
2019-08-27 00:00:00,Reinoldikirchplatz,Stationär
2019-08-29 00:00:00,Friedensplatz,Stationär
2019-08-30 00:00:00,Aufzug Innenstadt,Aufzug
2019-08-31 00:00:00,Kampstraße DSW21Center,Stationär
2019-08-31 00:00:00,Hombruch Hartkort/Domänen,Stationär
2019-08-31 00:00:00,Kleppingstr./Ostenhellweg,Stationär
2019-08-31 00:00:00,Platz von Leeds,Stationär
2019-09-02 00:00:00,Europabrunnen,Stationär
2019-09-02 00:00:00,Brüderweg,Stationär
2019-09-06 00:00:00,Friedensplatz,Aufzug
2019-09-07 00:00:00,Kampstr./Katharinenstr.,Aufzug
2019-09-07 00:00:00,Hombruch Hartkort/Domänen,Stationär
2019-09-07 00:00:00,Brauhausstraße,Stationär
2019-09-07 00:00:00,Platz von Leeds,Stationär
2019-09-08 00:00:00,Aplerbeck - Halde Schleswig,Stationär
2019-09-09 00:00:00,Europabrunnen,Stationär
2019-09-09 00:00:00,Betenstraße,Stationär
2019-09-09 00:00:00,Schlanke Mathilde,Stationär
2019-09-09 00:00:00,Brüderweg,Stationär
2019-09-11 00:00:00,Kleppingstr./Ostenhellweg,Stationär
2019-09-12 00:00:00,Platz der Deutschen Einheit,Stationär
2019-09-13 00:00:00,Nordmarkt,Stationär
2019-09-13 00:00:00,Friedensplatz,Aufzug
2019-09-14 00:00:00,Aufzug Nordstadt,Aufzug
2019-09-14 00:00:00,Platz von Netanya,Stationär
2019-09-14 00:00:00,Hombruch Hartkort/Domänen,Stationär
2019-09-14 00:00:00,Kleppingstr./Ostenhellweg,Stationär
2019-09-14 00:00:00,Sonnenplatz,Stationär
2019-09-14 00:00:00,Kampstraße DSW21Center,Stationär
2019-09-14 00:00:00,Sonnenplatz,Stationär
2019-09-15 00:00:00,Innenstadt,Aufzug
2019-09-16 00:00:00,Europabrunnen,Stationär
2019-09-16 00:00:00,Ostwall - Wall - Ostwall,Aufzug
2019-09-16 00:00:00,Brüderweg,Stationär
2019-09-16 00:00:00,FZW - Hiltropwall,Aufzug
2019-09-18 00:00:00,Dietrich Keuning Haus,Stationär
2019-09-18 00:00:00,Leopoldstr. 50 - 58 Dietrich-Keuning-Haus,Stationär
2019-09-19 00:00:00,Friedhof,Stationär
2019-09-20 00:00:00,Friedensplatz,Aufzug
2019-09-20 00:00:00,Lünen Europaplatz,Stationär
2019-09-20 00:00:00,Platz von Netanya,Stationär
2019-09-20 00:00:00,Hbf - U-Bahn Brügmannplatz,Aufzug
2019-09-20 00:00:00,Reinoldikirchplatz,Stationär
2019-09-21 00:00:00,Platz von Netanya,Stationär
2019-09-21 00:00:00,Hombruch Hartkort/Domänen,Stationär
2019-09-21 00:00:00,Platz von Netanya,Stationär
2019-09-21 00:00:00,Petrikirche Westenhellweg,Stationär
2019-09-21 00:00:00,Katharinentreppe,Stationär
2019-09-21 00:00:00,Brauhausstraße/Ecke Hansaplatz,Stationär
2019-09-21 00:00:00,Platz an der Schlanken Mathilde,Stationär
2019-09-23 00:00:00,Europabrunnen,Stationär
2019-09-23 00:00:00,Brüderweg,Stationär
