Anzahl Vers.,Datum ,Versammlungen Ort,Vermerk,Unnamed: 4,Anzahl Aufzüge,Datum,Vermerk.1,Unnamed: 8,Unnamed: 9,Unnamed: 10
,02.08.-04.04.2019,,Veransaltung,,,02.08.-04.08,,,,
94.0,2019-08-02 00:00:00,vor Schlossmauer,,,,,,,,
95.0,2019-08-03 00:00:00,St. Johanner Markt,abgesagt,,,,,,,
96.0,2019-08-03 00:00:00,vor ECE,,,,,,,,
,,,,,59.0,2019-08-05 00:00:00,,,,
97.0,2019-08-09 00:00:00,vor ECE,,,,,,,,
98.0,2019-08-10 00:00:00,vor ECE,,,,,,,,
99.0,2019-08-10 00:00:00,Heinestraße 2-4,,,,,,,,
100.0,2019-08-10 00:00:00,Bahnhofstraße,,,,,,,,
101.0,2019-08-17 00:00:00,vor ECE,,,,,,,,
,,,,,60.0,2019-08-19 00:00:00,Spontanversammlung,,,
102.0,2019-08-20 00:00:00,St. Johanner Markt,,,,,,,,
103.0,2019-08-21 00:00:00,St. Johanner Markt,,,61.0,2019-08-21 00:00:00,,,,
,,,,,62.0,2019-08-22 00:00:00,,,,
104.0,2019-08-23 00:00:00,Bahnhofstraße   77/79,Eilversammlung,,,,,,,
,2019-08-24 00:00:00,Stadtteilfest Ludwigsplatz,Veransaltung,,,2019-08-24 00:00:00,,,,
,2018-08-24 00:00:00,Nachbarschaftsfest Max-Ophüls-Platz,Veransaltung,,,2018-08-24 00:00:00,,,,
105.0,2019-08-24 00:00:00,Bahnhofstraße   ,,,,,,,,
,,,,,63.0,2019-08-28 00:00:00,,,,
,,,,,64.0,2019-08-30 00:00:00,nicht angemeldet,,,
106.0,2019-08-31 00:00:00,Bahnhofstraße 72/74 - 77/79,,,65.0,2019-08-31 00:00:00,,,,
107.0,2019-08-31 00:00:00,St. Johanner Markt,,,,,,,,
108.0,2019-08-31 00:00:00,St. Johanner Markt,,,,,,,,
,,,,,66.0,2019-09-02 00:00:00,,,,
109.0,2019-09-06 00:00:00,vor ECE,,,,,,,,
110.0,2019-09-06 00:00:00,Gustav-Regler-Platz,,,,,,,,
111.0,2019-09-07 00:00:00,vor ECE,,,,,,,,
,,,,,67.0,2019-09-09 00:00:00,,,,
,2019-09-12 00:00:00,Veranstaltung,,,,,,,,
112.0,2019-09-13 00:00:00,vor ECE,,,,,,,,
113.0,2019-09-14 00:00:00,vor ECE,,,,,,,,
114.0,2019-09-14 00:00:00,Heinestraße 2-4,,,,,,,,
115.0,2019-09-18 00:00:00,vor ECE,,,,,,,,
116.0,2019-09-20 00:00:00,divers,,,,,,,,
117.0,2019-09-20 00:00:00,vor Congresshalle,,,,,,,,
118.0,2019-09-20 00:00:00,vor Landtag,,,68.0,2019-09-20 00:00:00,,,,
119.0,2019-09-20 00:00:00,vor ECE,,,,,,,,
120.0,2019-09-21 00:00:00,vor ECE,,,,,,,,
121.0,2019-09-21 00:00:00,Bahnhofstraße 72/74 - 77/79,verlegt auf den 28.09.2019,,,,,,,
122.0,2019-09-21 00:00:00,vor ECE,,,,,,,,
123.0,2019-09-21 00:00:00,Landtag,,,,,,,,
,,,,,69.0,2019-09-23 00:00:00,,,,
124.0,2019-09-25 00:00:00,vor ECE,,,,,,,,
125.0,2019-09-26 00:00:00,vor Landtag,Eilversammlung,,70.0,2019-09-26 00:00:00,,,,
126.0,2019-09-27 00:00:00,Heuduckstraße 18-26,abgesagt,,,,,,,
127.0,2019-09-28 00:00:00,vor Karstadt/Bahnhofstraße,abgesagt,,,,,,,
128.0,2019-09-28 00:00:00,vor ECE,,,71.0,2019-09-28 00:00:00,,,,
129.0,2019-09-28 00:00:00,Bahnhofstraße 72/74 - 77/79,,,,,,,,
130.0,2019-09-28 00:00:00,vor ECE,Flyeraktion/keine Versammlung,,,,,,,
,04.-06.10.2019,Eventwochenende ECE besetzt,Veransaltung,,,04.-06.10.2019,,,,
131.0,2019-10-02 00:00:00,vor Landtag,,,,,,,,
132.0,2019-10-04 00:00:00,vor ECE,nur eine Person; andere Uhrzeit,,,,,,,
133.0,2019-10-05 00:00:00,vor ECE,ausgefallen,,72.0,2019-10-05 00:00:00,,,,
134.0,2019-10-06 00:00:00,vor ECE; vor Karl-Marx-Straße,abgesagt,,,,,,,
,,,,,73.0,2019-10-07 00:00:00,,,,
,,,,,74.0,2019-10-07 00:00:00,Spontanversammlung mit Aufzug,,,
135.0,2019-10-08 00:00:00,vor ECE,abgesagt,,,,,,,
,,,,,75.0,2019-10-09 00:00:00,,,,
,,,,,76.0,2019-10-09 00:00:00,Spontanversammlung mit Aufzug,,,
136.0,2019-10-10 00:00:00,vor ECE,abgesagt,,77.0,2019-10-10 00:00:00,,,,
137.0,2019-10-11 00:00:00,vor ECE,abgesagt,,78.0,2019-10-11 00:00:00,,,,
,,,,,79.0,2019-10-11 00:00:00,Trauermarsch - Keine Demozug,,,
138.0,2019-10-11 00:00:00,vor Synagoge,Spontanversammlung,,,,,,,
139.0,2019-10-11 00:00:00,Bahnhofstraße,"nur Infostand und Flashmob, Keine Mahnwache und keine Smartmob",,,,,Aufbau Weihnachtsmarkt ab 04.11.2019,,
140.0,2019-10-12 00:00:00,Heinestraße 2-4,,,80.0,2019-10-12 00:00:00,mit Gewalt,Flohmarkt Franz-Josef-Röder Straße,,
141.0,2019-10-12 00:00:00,Bahnhofstraße 72/74 - 77/79,,,,,,,12.10.,09.11.
,,,,,81.0,2019-10-13 00:00:00,Spontan HBF,,,
,,,,,82.0,2019-10-15 00:00:00,mit Strafanzeige wg. Pyrotechnik,,,
,,,,,83.0,2019-10-16 00:00:00,mit Stafanzeige wg. Fahnen,,,
142.0,2019-10-17 00:00:00,Bahnhofstraße mittig,,,,,,,,
143.0,2019-10-17 00:00:00,St. Johanner Markt,,,,,,,,
144.0,2019-10-19 00:00:00,vor ECE,,,84.0,2019-10-19 00:00:00,,,,
,,,,,85.0,2019-10-21 00:00:00,,,,
,,,,,86.0,2019-10-22 00:00:00,,,,
145.0,2019-10-25 00:00:00,vor ECE,,,,,,,,
146.0,2019-10-26 00:00:00,GHF Straße /Swarming,Spontanversammlung(Swarming),,87.0,2019-10-26 00:00:00,,,,
,,,, ,88.0,2019-10-27 00:00:00,,,,
,,,,,89.0,2019-10-30 00:00:00,,,,
,2019-11-01 00:00:00,,,,,2019-11-01 00:00:00,Versammlungsverbot Sonn- und Feiertagsgestetz siehe § 8,,,
,2019-11-02 00:00:00,,,,,2019-11-02 00:00:00,Versammlungsverbot Sonn- und Feiertagsgestetz siehe § 8,,,
147.0,2019-11-02 00:00:00,Bahnhofstraße 72/74 - 77/79,Versammlungsverbot bis 18:00 nach § 8 Sonn- und Feiertagsgesetz ,,90.0,2019-11-02 00:00:00,Versammlungsverbot bis 18:00 nach § 8 Sonn- und Feiertagsgesetz ,,,
,,,,,91.0,2019-11-04 00:00:00,,,,
148.0,2019-11-06 00:00:00,vor ECE,,,,,,,,
149.0,2019-11-07 00:00:00,vor Staatskanzlei,nicht angemeldet (über Radio gehört; SZ berichtet); Anmledung als Eilversammlung,,,,,,,
150.0,2019-11-08 00:00:00,vor ECE,,,,,,,,
151.0,2019-11-09 00:00:00,vor ECE,,,92.0,2019-11-09 00:00:00,,,,
152.0,2019-11-09 00:00:00,Franz-Josef-Röder-Straße 7,,,,,,,,
153.0,2019-11-09 00:00:00,Heinestraße 2-4,,,,,,,,
154.0,2019-11-09 00:00:00,An der Saarlandhalle ,abgesagt,,,,,,,
155.0,2019-11-10 00:00:00,An der Saarlandhalle ,,,,,,,,
156.0,2019-11-09 00:00:00,An der Saarlandhalle ,abgesagt,,,,,,,
157.0,2019-11-10 00:00:00,An der Saarlandhalle ,,,,,,,,
158.0,2019-11-15 00:00:00,vor ECE 2,,,,,,,,
159.0,2019-11-15 00:00:00,vor ECE,zurückgewiesen,,,,,,,
160.0,2019-11-16 00:00:00,vor ECE,zurückgewiesen,,,,,,,
161.0,2019-11-16 00:00:00,Heinestraße 2-4,,,93.0,2019-11-16 00:00:00,,,,
162.0,2019-11-16 00:00:00,vor ECE,abgesagt,,94.0,2019-11-16 00:00:00,,,,
163.0,2019-11-16 00:00:00,Spontanversammlung in Bismarckstraße,,,,,,,,
164.0,2019-11-16 00:00:00,Spontanversammlung vor ECE,,,,,,,,
,2019-11-17 00:00:00,,,,,2019-11-17 00:00:00,Versammlungsverbot Sonn- und Feiertagsgestetz siehe § 8,,,
165.0,2019-11-18 00:00:00,vor Rathaus - Eilversammlung,,,,,,,,
,2019-11-20 00:00:00,,,,,2019-11-20 00:00:00,Versammlungsverbot Sonn- und Feiertagsgestetz siehe § 8,,,
166.0,2019-11-22 00:00:00,vor ECE,zurückgewiesen,,,,,,,
167.0,2019-11-23 00:00:00,vor ECE,zurückgewiesen,,95.0,2019-11-23 00:00:00,,,,
,2019-11-24 00:00:00,,,,,2019-11-24 00:00:00,Versammlungsverbot Sonn- und Feiertagsgestetz siehe § 8,,,
168.0,2019-11-25 00:00:00,Peter-Zimmer-Straße 2,,,,,,,,
,,,,,96.0,2019-11-27 00:00:00,,,,
169.0,2019-11-29 00:00:00,vor Johanneskirche,,,97.0,2019-11-29 00:00:00,,,,
170.0,2019-11-29 00:00:00,GRP,,,,,,,,
171.0,2019-11-30 00:00:00,vor ECE 2,,,,,30.11.+01.12. Alt Saarbrücker Weihnachtsmarkt,,,
,,,,,,,30.11.+01.12. Alt Saarbrücker Weihnachtsmarkt,,,
172.0,2019-12-01 00:00:00,vor ECE,Eilversammlung,,,,,,,
,,,,,98.0,2019-12-02 00:00:00,,,,
173.0,2019-12-04 00:00:00,vor Landtag,,,,,,,,
174.0,2019-12-06 00:00:00,vor ECE,zurückgewiesen,,,,,,,
175.0,2019-12-07 00:00:00,vor ECE,zurückgewiesen,,99.0,2019-12-07 00:00:00,,,,
176.0,2019-12-07 00:00:00,vor ECE,,,,,,,,
177.0,2019-12-12 00:00:00,Bahnhofstraße vor Kaufhof,Eilversammlung,,,,,,,
178.0,2019-12-13 00:00:00,vor ECE,zurückgewiesen,,,,,,,
179.0,2019-12-14 00:00:00,vor ECE,zurückgewiesen,,100.0,2019-12-14 00:00:00,,,,
180.0,2019-12-14 00:00:00,Heinestraße 2-4,,,,,,,,
181.0,2019-12-18 00:00:00,Burbach vor Sparkasse,,,,,,,,
182.0,2019-12-18 00:00:00,Klärung: nicht in Saarbrücken,,,,,,,,
183.0,2019-12-19 00:00:00,vor Umweltministerium,Anmelung folgt/Verschoben auf 2020 (verlief ausschließlich mündlich),,101.0,2019-12-19 00:00:00,,,,
184.0,2019-12-20 00:00:00,vor ECE,zurückgewiesen,,,,,,,
185.0,2019-12-21 00:00:00,vor ECE,zurückgewiesen,,,,,,,
186.0,2019-12-21 00:00:00,ECE 2,,,,,,,,
187.0,2019-12-21 00:00:00,vor ECE,nicht angemeldet,,,,,,,
188.0,2019-12-22 00:00:00,Käthe-Kollwitz-Straße,,,,,,,,
,2019-12-24 00:00:00,,,,,2019-12-24 00:00:00,Versammlungsverbot Sonn- und Feiertagsgestetz siehe § 8,,,
