Anzahl Vers.,Datum ,Thema der Versammlung,Uhrzeit,erwartete Teilnehmerzahl,Anzahl Aufzüge,Datum,Thema des Aufzuges
130.0,2023-07-01 00:00:00,"Mahnwache - Tierrechte, Veganismus",15:00 Uhr - 19:00 Uhr,,,,
131.0,2023-07-06 00:00:00,Mahnwachen im Rahmen der Aktion Leuchtturm ARD,17:00 Uhr- 19:00 Uhr,4 bis 8 ,36.0,2023-07-03 00:00:00,Montagsdemo
132.0,2023-07-08 00:00:00,Mahnwache - Für eine friedliche Welt ohne Atomwaffen!,13:00 Uhr - 15:00 Uhr,15,,,
133.0,2023-07-08 00:00:00,"Missstände in Burbach, aus Linker Sicht",9:30 Uhr - 12:00 Uhr,5 bis 10,,,
134.0,2023-07-09 00:00:00,Gesundheit von/für Öcalan,17:00 Uhr- 17:35 Uhr,37,,,
135.0,2023-07-12 00:00:00,Wir geben euch das Klimagesetz mit Wumms,08:30-16:00,100-200,,,
136.0,2023-07-13 00:00:00,Mahnwachen im Rahmen der Aktion Leuchtturm ARD,17:00 Uhr- 19:00 Uhr,4 bis 8 ,,,
137.0,2023-07-15 00:00:00,Sühne- und Bittgebet für die Ungeborenen,11:00 Uhr - 11:30 Uhr,14-24,,,
138.0,2023-07-15 00:00:00,Organraub an lebenenden Falun Gong-Praktizierenden in China,12:00 Uhr - 17:00 Uhr,10,,,
139.0,2023-07-15 00:00:00,"Mahnwache - Tierrechte, Veganismus",15:00 Uhr - 19:00 Uhr,20,,,
140.0,2023-07-15 00:00:00,Ist die Bibel Gottes Wort? Gibt es dafür Beweise?,10:00 Uhr - 15:00 Uhr,5 bis 10 ,,,
141.0,2023-07-16 00:00:00,Die Stimme der saarländischen Menschen mir internationaler Geschichte stärken,13:00 Uhr - 18:00 Uhr,150,,,
142.0,2023-07-20 00:00:00,Mahnwachen im Rahmen der Aktion Leuchtturm ARD,17:00 Uhr- 19:00 Uhr,4 bis 8 ,,,
143.0,2023-07-22 00:00:00,Zoos sind Tiergefängnisse!,14:00 Uhr - 17:00 Uhr,15,38.0,2023-07-22 00:00:00,Letzte Generation - Protestmarsch
144.0,2023-07-22 00:00:00,Protestaktion DFG - DIE LINKE ,,,,,
145.0,2023-07-24 00:00:00,Black July 83 Kundgebung anlässlich 40 Jahrestag Genozig an Eelam Tamilen,15:00 Uhr bis 17:00 Uhr,50,,,
146.0,2023-07-27 00:00:00,Mahnwachen im Rahmen der Aktion Leuchtturm ARD,17:00 Uhr- 19:00 Uhr,4 bis 8 ,,,
147.0,2023-07-29 00:00:00,"Mahnwache - Tierrechte, Veganismus",15:00 Uhr - 19:00 Uhr,20,,,
148.0,2023-08-04 00:00:00,Spontankundgebung der Bewegung fridays for future,17:00 Uhr - 18:40 Uhr,7,,,
