Datum,Von,Bis,Thema,Strasse,Nr,PLZ,Aufzugsstrecke,Teilnehmende (angemeldet),Teilnehmende (tatsächlich)
2023-01-06,0 days 17:00:00,0 days 21:00:00,"""Gedenk-Demonstration für die drei am 09.01.2013 in Paris durch den türkischen Geheimdienst getöteten kurdischen Aktivistinnen Sakine Cansiz, Fidan Dogan und Leyla Saylemez""",,,,"Kottbusser Damm, Kottbusser Brücke (ZK), Kottbusser Straße, Adalbertstraße, Oranienstraße, Mariannenstraße",300.0,3.0
2023-01-07,0 days 00:00:00,0 days 23:59:00,"""Revolutionsgarden des Islamischen Regime auf die Terrorliste der EU einsetzen"" (vom 23.12.2022 bis 20.01.2023 - täglich)",Platz der Republik,1,10557.0,,4.0,
2023-01-07,0 days 00:00:00,1 days 00:00:00,"""Zuschließung der Iranischen Botschaft"" sic! (vom 17.11.2022 bis 15.01.2023 - täglich)",Podbielskiallee,67,14195.0,,2.0,10.0
2023-01-07,0 days 10:00:00,0 days 16:00:00,"""Nur Politik, die an alle denkt, ist wirklich sozial.""",Volkspark Köpenick,,12559.0,,30.0,
2023-01-07,0 days 10:00:00,0 days 18:00:00,"""Gegen Mieterverdrängung durch sogenannte energetische Sanierung und Luxussanierung für unverfälschte Denkmalpflege. Verstoß gegen den Kaufvertrag."" (vom 24.12.2022 bis 25.03.2023 - jeweils Mi.,Sa.,So.)",Kehrwieder,,13509.0,,6.0,18.0
2023-01-07,0 days 11:00:00,0 days 12:00:00,"""Mahnwache für Toleranz und ein friedliches Miteinander""",Marktstr.,,13597.0,,20.0,30.0
2023-01-07,0 days 11:00:00,0 days 14:00:00,"""Installation für Kinder im Iran""",Pariser Platz,1,10117.0,,10.0,2.0
2023-01-07,0 days 12:00:00,0 days 14:30:00,"""Stoppt die Verfolgung von FALUN DAFA / FALUN-GONG Praktizierenden und anderen unschuldigen Menschen in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 01.01. bis 31.12.2023 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",Jannowitzbrücke,,10179.0,,10.0,9.0
2023-01-07,0 days 12:00:00,0 days 15:00:00,"""Demonstration gegen Regierung der Mongolei. Es soll ein Zeichen der Solidarität mit den Demonstranten in der Mongolei gegeben werden."" (vom 24.12.2022 bis 05.03.2023 - jeweils Sa.,So.)",Hausvogteiplatz,,10117.0,,15.0,5.0
2023-01-07,0 days 12:30:00,0 days 15:30:00,"""Versammlung mit politischen und sozialen Hintergrund. Zur Erinnerung und Klarstellung der christlichen Werte. Um die Lage der christlichen Menschen in Islamischen dominierten Ländern aufmerksam zu machen.""",Leopoldplatz,,13353.0,,7.0,6.0
